dwr_name,water,area,unit,county,species,species_raw,quantity,length_in,stock_date,source_year,dup_index,dup_total,qa_flag
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,539,3.69,2003-06-12,2003,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,501,2.78,2005-06-29,2005,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,561,2.99,2007-05-31,2007,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,505,3.33,2009-07-02,2009,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,357,3.26,2010-07-12,2010,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,500,3.67,2014-05-28,2014,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,59,3.11,2014-08-15,2014,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,52,4.43,2018-06-01,2018,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,136,3.09,2018-07-18,2018,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,204,3.45,2018-07-18,2018,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,70,3.19,2020-08-11,2020,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,110,6.28,2020-10-22,2020,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,51,2.95,2022-06-29,2022,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,103,2.3,2022-06-29,2022,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,51,3.09,2024-07-23,2024,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Rainbows,RAINBOW,100,3.56,2024-07-23,2024,1,1,
ANTIMONY L EMW,Antimony Lake,Escalante Mountains,Escalante Mountains west,Garfield,Brookies,BROOK TROUT,54,2.85,2026-07-08,2026,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,6000,3.3,2002-05-14,2002,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,6007,3.14,2003-06-20,2003,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,6047,3.56,2004-04-28,2004,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Cutthroats,CUTTHROAT,3091,2.2,2004-10-18,2004,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,5993,5.51,2005-07-12,2005,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,3011,6.08,2005-08-17,2005,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Cutthroats,CUTTHROAT,5244,1.87,2005-10-11,2005,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,6003,5.03,2006-06-22,2006,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Browns,BROWN TROUT,5994,4.73,2007-06-12,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,680,9.29,2007-06-22,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,740,9.65,2007-07-03,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,2498,6.96,2007-07-13,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,2481,6.71,2007-07-13,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,651,9.35,2007-07-20,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,1482,9.19,2007-09-07,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Cutthroats,CUTTHROAT,5016,1.54,2007-09-21,2007,1,1,
ASAY CR,Asay Creek,Southwest Garfield,,Garfield,Rainbows,RAINBOW,1173,9.89,2008-06-03,2008,1,1,
