Lake name	Size (acres)	Max depth (ft)	Fish species	Fishing pressure
Ashley Twins Reservoir, GR-35	25	18	Brook trout, cutthroat trout (reproducing)	Moderate
Bert, GR-62	3.7	11	Brook trout (stocked)	Low
Blue, DF-1	6.5	16	Brook trout	Moderate
Deadman, GR-38	7	9	Brook trout, cutthroat trout	High
DF-4	10	23	Cutthroat	Low
East Kibah, DF-11	2.9	12	Brook trout (stocked), rainbow trout (reproducing)	Moderate
Finger Kibah, DF-12	4.7	9	Brook trout	Moderate
West Kibah, DF-14	7.8	15	Brook trout (stocked)	Moderate
Island Kibah, DF-16	8	14	Brook trout	Moderate
Fish, GR-57	17.5	40	Cutthroat trout (reproducing)	High
Goose #2, GR-43	19.4	15	Cutthroat	Low
GR-52	2.1	4	Brook trout	Moderate
Hooper, GR-46	4.5	4	Cutthroat trout	Moderate
Lakeshore, GR-34	11.1	18	Brook and cutthroat trout	Moderate
Little Blue, GR-48	3.2	6	Brook trout	Low
March, GR-39	12.6	21	Brook trout	Moderate
North Twin (Dry Fork), GR-50	n/a	n/a	Brook and cutthroat trout	High
Paul, DF-18	11.1	17	Brook trout	Low
Red Belly, GR-51	6.3	8	Cutthroat trout	Moderate
Sandy, GR-45	5.6	10	Cutthroat trout	Low
Shaw, GR-59	2.8	5	Cutthroat trout	Low
South Twin (Dry Fork), GR-49	6.2	8	Brook and cutthroat trout	High
Allsop, BR-42	12.3	22	Cutthroat (natural reproducing)	Moderate
Amethyst, BR-28	42.5	59	Brook and cutthroat trout	Moderate
Baker, BR-45	3.6	8	Tiger trout	Moderate
Beaver, BR-10	13.2	32	Rainbow, brook and cutthroat trout	Moderate
Bourbon (Gold Hill), BR-1	1.9	8	Brook trout	Moderate
BR-2	0.7	5	Brook trout	Low
BR-16	1	5	Brook and cutthroat trout (natural reproducing)	Low
BR-17	2.8	7	Brook trout (natural reproducing)	Moderate
BR-18	4.8	12	Brook trout	Low
BR-24	2.4	10	Tiger trout	Low
BR-44	3.6	15	Tiger trout	Low
Cutthroat, BR-37	3.8	16	Cutthroat and tiger trout	Moderate
Hayden, BR-36	4.4	5	Tiger trout	Moderate
Kermsuh, BR-20	12.4	14	Cutthroat trout (natural reproducing)	Low
Lily, BR-11	12.6	20	Rainbow trout	Moderate
Lorena, BR-46	12	20	Brook trout (stocked)	Low
Lym, BR-7	6.4	20	Brook trout (natural reproducing)	Moderate
McPheters, BR-14	28	45	Tiger trout	Moderate
Meadow, BR-19	2.9	5	Brook trout (natural reproducing)	Low
Mt. Elizabeth, BR-8	3.1	15	Cutthroat trout	Moderate
Norice, BR-47	4.8	3	Cutthroat trout (natural reproducing)	Moderate
Ostler, BR-27	14	14	Tiger trout	Moderate
Priord, BR-48	12	20	Cutthroat trout (stocked), Tiger trout	Moderate
Ruth, BR-40	9.7	30	Brook trout (stocked)	High
Ryder, BR-15	23.7	55	Brook trout	Moderate
Salamander, BR-26	4.1	13	Brook trout (stocked)	Low
Scow, BR-12	22.9	6	Brook trout	Low
Seidner, BR-31	3.2	8	Brook trout (natural reproducing)	Moderate
Teal, BR-32	6.9	14	Tiger trout	Moderate
Toom Set, BR-25	2.1	11	Brook trout (natural reproducing)	Low
Whiskey Island (Guy's) BR-3	5	19	Arctic grayling	Low
Beaver, GR-147	38.3	30	Brook trout (natural reproducing), Cutthroat	High
Coffin, GR-144	25.8	28	Cutthroat (stocked), Tiger trout	Low
Dine, GR-148	5.1	15	Brook trout	Low
Gilbert, GR-150	15.2	2	Brook and cutthroat trout (natural reproducing)	Moderate
GR-145	5.6	11	Cutthroat (variable), Arctic grayling	Low
GR-151	12.6	11	Brook trout (natural reproducing)	Low
GR-152	4.8	13	Brook trout	Low
GR-153	3.6	2	Brook and cutthroat trout	Low
GR-154	2.1	6	Brook trout (stocked)	Low
GR-155	1.6	6	Brook trout (stocked)	Low
GR-160	4.8	50	Brook trout	Low
GR-161	4.3	41	Brook trout (variable)	Low
GR-162	6.5	18	Brook trout (variable)	Low
GR-163	6.5	16	Brook trout (variable)	Low
GR-172	3.6	15	Brook trout (variable)	Low
GR-173	3.9	27	Brook trout (variable)	Low
GR-175	18.3	11	Cutthroat trout	Low
GR-179	5.5	11	Brook trout (variable)	Low
Hidden, GR-149	6.5	18	Brook trout (stocked)	Moderate
Bobs, G-73	6.6	30	Cutthroat trout (stocked), Tiger trout	Low
Dead Horse, G-77	16	41	Cutthroat trout (stocked), Tiger trout	Moderate
Duck, G-37	5.9	5	Brook trout (stocked)	Moderate
Ejod, G-76	6.7	12	Cutthroat trout (natural & stocked)	Low
G-65	5	5	Brook trout (natural reproducing)	Moderate
G-66	4	12	Brook trout (natural reproducing)	Moderate
G-67	7.7	25	Brook trout (stocked)	Low
G-69	4.8	13	Cutthrout (natural reproducing)	Low
G-70	3.8	4	Cutthroat trout (stocked)	Low
G-71	4.8	14	Brook trout	n/a
G-72	1.3	6	Unknown	Low
G-74	3.4	3	Brook trout	Low
G-78	3.2	9	Brook trout	Low
G-79	2.5	5	Brook trout	Low
G-80	1.8	8	Brook trout	Low
G-81	1.6	5	Cutthrout trout (stocked)	Low
G-82	3.8	6	Brook trout	Low
G-86	6.4	7	Brook trout	Low
Little Lyman, G-25	5	25	Rainbow trout (stocked)	High
Lyman, G-27	36.6	30	Rainbow trout (stocked)	Moderate
Moslander, G-102	11.4	29	Brook trout	Low
Crow, DG-3	18	26	Cutthroat trout	Moderate
DG-6	3	5	Cutthroat trout (stocked)	Low
DG-7	6	4	Cutthroat trout	Low
DG-8	7	8	Cutthroat trout	Low
DG-9	10	27	Cutthroat trout	Low
DG-10	10	12	Cutthroat trout	Low
DG-14	2	10	Cutthroat trout (stocked)	Low
DG-15	3	9	Cutthroat trout	Low
DG-16	3	8	Cutthroat trout	Low
DG-17	3	12	Cutthroat trout	Low
Heller Reservoir, DG-28	12	37	Brook trout	High
Hidden, DG-27	10	39	Brook trout	Low
Lower Lily Pad, DG-26	9	11	Brook trout	Low
Upper Lily Pad, DG-25	12	37	Brook and cutthroat trout	High
Albert, U-94	7	8	Cutthroat trout	Low
Allred, U-14	34	30	Brook trout	Moderate
Atwood, U-16	200	40	Brook trout and golden trout	Moderate
B-29 Lake, U-18	19	7	Brook trout	Low
Bear, U-74	9	15	Brook trout (stocked)	Low
Bollie, U-96	10	15	Cutthroat trout	Low
Bowden, U-32	4.5	14	Brook trout (stocked)	Moderate
Brook, U-54	10	8	Brook trout (stocked)	Low
Carrot, U-17	31	31	Brook trout (stocked)	Low
Chain 1 (Lower), U-3	62	38	Brook trout (natural reproducing)	High
Chain 2 (Middle), U-2	14.4	13	Brook trout (natural reproducing)	Moderate
Chain 3 (Upper), U-1	51	44	Brook trout	Moderate
Chain 4, U-4	13.5	31	Cutthroat trout	Low
Craig, U-85	9.3	14	Cutthroat and brook trout	Low
Crescent, U-48	31	23	Cutthroat and brook trout	Moderate high
Davis, North, U-46	7.3	7	Brook trout	Low
Davis, South, U-34	6.1	4	Brook trout	Low
Divide, U-59	18.9	39	Cutthroat trout	Low
Dollar, U-49	11.5	6	Brook trout	Moderate
Fox, U-47	102	47	Brook and cutthroat trout	Moderate
George Beard, U-21	7.4	15	Brook trout (natural reproducing)	Low
Gilbert, U-82	14.6	20	Brook trout (stocked)	Low
Kidney, East, U-25	13.7	12	Brook trout	High
Kidney, West, U-26	20	4	Brook trout	High
Lily, U-23	5.3	15	Brook trout	Low
Lily Pad, U-8	3.7	7	Brook and rainbow trout (natural reproducing)	Moderate
Milk, U-73	13.1	35	Brook and cutthroat trout	Low
Mt. Emmons, U-13	15.5	21	Brook trout, Golden Trout	Low
Oke Doke, U-5	12.9	38	Cutthroat (stocked)	Low
Penny Nickell, U-98	11.5	43	Cutthroat (stocked)	Low
Pippen, U-9	3.2	3	Brook trout (natural reproducing)	Moderate
Rainbow, U-33	35.1	20	Brook trout (natural reproducing)	Moderate
Roberts, U-15	23.3	38	Cutthroat and brook trout	Low
Samuals, U27	4.8	7	Brook trout	Low
U-19	15	8	Brook trout, Golden trout	Low
U-35	4.4	5	Cutthroat and brook trout	Moderate
U-36	4.6	7	Brook trout (natural reproducing)	Moderate
U-37	6.3	12	Brook trout (stocked)	Low
U-38	15.7	13	Cutthroat trout	Moderate
U-42	7.6	7	Cutthroat trout	Low
U-45	5	5	Cutthroat trout	Low
U-50	18	8	Brook trout	Low
U-75	6.9	18	Brook trout	Low
U-76	6	15	Cutthroat trout	Low
U-88	14	18	Brook trout	Low
U-89	11.5	15	Brook trout	Low
U-93	11.1	8	Cutthroat trout (stocked)	Very low
Verlie, U-41	10.6	12	Brook trout (natural reproducing)	Moderate
Blizzard, D-25	19	36	Brook trout	Moderate
Blythe, Z-20	5	14	Brook trout (stocked)	Moderate
Bonnie, Z-6	3.6	7	Brook trout (stocked), Cutthroat	High
Broadhead, D-40	8.8	16	Brook trout (stocked)	Low
Bud, Z-2	3.7	13	Brook trout (stocked)	Moderate
Butterfly, Z-1	4.3	13	Rainbow and brook trout (stocked)	High
Carolyn, Z-42	5	17	Brook and cutthroat trout	Moderate
Castle, D-14	1	12	Cutthroat trout, Tiger trout	Moderate
D-19	1.2	6	Brook and cutthroat trout	Moderate
D-26	3	10	Brook trout (stocked)	Moderate
Echo, Z-16	18	44	Golden trout	Moderate
Everman, Z-36	7.8	7	Brook trout (stocked)	Moderate
Farney, X-14	12.6	14	Arctic grayling (stocked)	Low
Fehr, Z-7	5.7	27	Brook trout	High
Gem, Z-17	3.8	14	Tiger trout	Low
Hades, D-11	6.4	32	Rainbow and brook trout (stocked)	Low
Hoover, Z-10	18.6	28	Brook and cutthroat trout	High
Joan, Z-19	15.2	20	Brook trout	Moderate
Jordan, Z-35	23.2	30	Brook trout (stocked)	Moderate
Leconte, Z-33	9.5	15	Cutthroat trout, Arctic grayling	Moderate
Maba, Z-8	4.2	20	Brook trout	High
Marsell, X-11	16.4	50	Cutthroat trout (stocked)	Moderate
Marshall, Z-11	18	36	Cutthroat	High
Mirror, Z-3	42	37	Rainbow and brook trout (stocked)	High
Moosehorn, Z-4	8	11	Rainbow trout (stocked)	High
Morat #1, Z-31	5.4	13	Cutthroat trout (stocked)	Moderate
Morat #2, Z-27	3.6	5	Cutthroat trout	Moderate
Packard, Z-15	4.5	10	Brook trout	High
Pass, Z-5	3.3	8	Rainbow trout	Moderate
Pyramid, Z-17	15	36	Brook trout	High
Scout, Z-12	30	17	Rainbow trout	High
Shaler, Z-34	13	7	Cutthroat trout	Moderate
Shepard, Z-9	14.2	32	Brook, cutthroat and rainbow trout	High
Sonny, X-12	5	13	Brook trout (stocked)	Low
Wilder, Z-13	3.7	14	Brook trout	High
Wyman, Z-14	6.5	17	Brook trout (stocked)	Moderate
Alligator, G-38	14.5	26	Trout	High
Bear, G-7	16.9	37	Brook trout (stocked)	Moderate
Blanchard, G-3	31.3	29	Cutthroat trout	Moderate
Castle, G-11	11.5	10	Brook trout (stocked)	Low
Cliff, G-5	33.1	69	Cutthroat trout (stocked), Tiger trout	Low
Dollar, G-2	9.7	18	Brook and cutthroat trout	Moderate
G-10	5.4	12	Brook trout	Low
G-39	2.6	7	Brook trout	Low
G-42	4.6	2	Brook and cutthroat trout	Low
G-44	1.5	7	Cutthroat trout	Low
G-62	2.2	7	Brook trout	Low
G-100	7.9	13	Brook trout	Low
Grass, G-8	5.5	4	Brook and cutthroat trout	Moderate
Henrys Fork, G-1	19.7	19	Cutthroat trout	Moderate
Island, G-9	10.4	5	Brook trout (stocked)	Low
Little Blanchard, G-4	3.6	8	Cutthroat trout	Low
Sawmill, G-6	7.2	21	Brook and cutthroat trout	High
Alexander, A-1	23	28	Brook trout (stocked)	High
Azure, A-11	9	23	Arctic grayling	Low
Beaver, A-17	3.5	15	Brook trout (stocked)	Low
Beth, A-6	5.4	10	Brook trout	High
Big Elk, A-18	30	85	Brook and tiger trout	High
Blue, A-5	8	26	Brook trout (stocked)	High
Booker, A-35	4.1	8	Brook trout	High
Brook, A-20	1.1	6	Brook trout	Moderate
Buckeye, A-3	5	8	Brook trout (stocked)	High
Clegg, A-47	5.1	12	Brook trout (stocked)	Moderate
Cliff, A-34	9	20	Cutthroat and tiger trout	High
Clyde, A-28	16	21	Brook trout	High
Crystal, A-51	9.8	7	Brook trout (stocked)	High
Cutthroat (Clint), A-40	3	10	Brook and tiger trout	Low
Diamond, A-22	3	7	Brook and cutthroat trout	Moderate
Divide, #1, A-36	3.5	5	Brook trout	High
Duck, A-7	12.7	15	Brook and cutthroat trout	High
Fire, A-14	9	59	Cutthroat trout	Moderate
Haystack, A-9	17	29	Brook and cutthroat trout	High
Hidden, A-15	8.2	25	Brook trout (stocked)	Moderate
Hope, A-54	2	5	Brook trout	Low
Hourglass, A-48	5.7	2	Brook and cutthroat trout	High
Island, A-57	28	40	Brook, cutthroat and tiger trout	High
Jacks, A-13	1.2	23	Brook trout	Moderate
James, A-31	2.1	8	Brook trout (stocked)	Moderate
John, A-30	4	10	Brook trout	Moderate
Junior, A-56	2.8	11	Cutthroat and tiger trout	Low
Lambert A-2	2	8	Brook trout (stocked)	Low
Lillian, A43	2	8	Brook trout	Low
Lilly, A-58	4.1	13	Rainbow trout	Moderate
Lily, Lower, A-25	3.2	16	Brook trout	High
Little Elk, A-19	13.2	31	Cutthroat trout	Moderate
Long Pond, A-62	2	5	Brook and cutthroat trout	Moderate
Long, A-37	35	26	Brook and cutthroat trout	High
Lost, A-59	62	22	Rainbow trout (stocked)	Moderate
Marjorie, A-12	13	16	Arctic grayling	High
Petit (Junior #5), A-26	2	3	Brook trout	Moderate
Pot, A-8	4	28	Brook trout (stocked)	High
Ramona, A-38	4.7	21	Brook trout (stocked)	Moderate
Rock, A-10	8	14	Tiger trout	Moderate
Shadow, A-52	14	20	Brook trout	High
Shingle Creek, East, A-39	7	44	Brook and tiger trout	High
Shingle Creek, Lower, P-62	4	14	Brook trout	Moderate
Shingle Creek, West, P-60	5	12	Brook trout (stocked)	Moderate
Spectacle (Hourglass), A-44	9.3	17	Brook trout (stocked)	Moderate
Star, A-42	16	35	Brook and tiger trout	High
Tail, A-53	9.8	13	Brook, cutthroat and rainbow trout	High
Teapot, A-60	13	46	Rainbow and brook trout	High
Trial, A-61	98	68	Rainbow and brook trout	High
Trident, A-41	4	5	Brook trout	High
Twin, Lower, A-33	3	14	Brook trout	High
Twin, Upper, A-32	9	13	Brook and tiger trout	High
Wall, A-29	80	97	Brook and tiger trout	High
Washington, A-23	106	70	Rainbow, cutthroat and brook trout	High
Watson, A-27	6	10	Brook trout	Moderate
Weir, A-50	7	13	Cutthroat and arctic grayling	Moderate
Allen, Z-44	15.2	16	Brook trout (natural reproducing), Arctic grayling	Low
Amlen, X-99	7.3	9	Brook trout (stocked)	Moderate
Anderson, X-117	5.8	12	Brook trout (natural reproducing), cutthroat trout	High
Arta, RC-23	5.4	6	Cutthroat trout	Low
Audrey, RC-45	13.2	25	Brook trout (stocked)	Low
Bedground, Z-46	2	15	Brook trout (stocked), Arctic grayling	Moderate
Betsey, X-7	33.8	44	Cutthroat and brook trout	High
Black, X-132	11.8	14	Brook trout (stocked) and cutthroat	High
Boot, X-124	9.1	17	Cutthroat trout	Low
Brinkley, RC-4	4.2	18	Brook trout	High
Cabin, RC-42	4.3	16	Brook trout (stocked)	Low
Continent, X-121	27.4	23	Cutthroat and brook trout	Moderate
Dale, Z-39	12.9	25	Brook trout (stocked)	High
Daynes, Z-38	23.2	21	Brook trout (stocked) and arctic grayling	
Dean, Z-40	24	44	Brook trout (stocked)	Moderate
Diamond, X-43	13	45	Brook trout (stocked)	Moderate
DOC'S, X-15	14.5	45	Brook trout (stocked)	Low
Doug, X-123	1	8	Cutthroat (natural reproducing)	Low
Fern, X-5	19.3	19	Brook trout (stocked)	Moderate
Fish Hatchery, X-6	37.2	28	Brook trout	High
Gibby, RC-30	1.9	25	Brook trout (stocked)	Moderate
Gladys, X-128	7.5	6	Brook trout (stocked)	Moderate
Governor Dern, Z-24	32	9	Brook and cutthroat trout	High
Grandaddy, X-9	173	40	Brook and cutthroat trout (naturally reproducing)	High
Heart, X-13	5.7	19	Cutthroat trout (stocked)	High
Helen, X-126	8.4	14	Brook trout (stocked)	Moderate
Horseshoe, RC-38	2.9	20	Brook trout (stocked)	Low
Huntley, RC-3	1.2	9	Brook trout (naturally reproducting)	Low
Jack, X-133	2.7	14	Cutthroat and brook trout	Moderate
Jean, Z-41	23.2	23	Brook and cutthroat trout	Moderate
Jill, X-111	3.6	25	Brook trout (stocked)	Moderate
Ledge, X-113	3.1	13	Brook trout (stocked)	Moderate
Lightning, X-127	14.1	23	Brook and cutthroat trout	Moderate
Lily Pad, X-2	9.5	14	Brook and cutthroat trout	Moderate
Lodgepole, X-3	20.4	29	Brook trout (stocked)	Moderate
Lost, Z-29	14	15	Brook trout (stocked)	Moderate
Margie, X-129	7.5	11	Brook trout (stocked)	Low
Margo, Z-23	11.1	29	Cutthroat trout (stocked)	Low
MID, X-42	5.1	3	Brook trout (stocked)	Moderate
Mohawk, X-10	50.8	23	Brook trout (naturally reproducting)	High
Ouray, X-112	4	6	Cutthroat and brook trout	Moderate
Palisade, Z-28	22.7	45	Brook and cutthroat trout	High
Phinney, X-119	13.6	30	Brook trout (stocked)	Moderate
Pine Island, X-8	79.6	44	Brook trout (stocked)	High
Pinto, X-22	46.6	36	Brook trout (stocked)	High
Powell, Z-30	22.4	15	Cutthroat trout (stocked)	Moderate
Rainbow, Z-25	17.9	15	Brook trout (stocked)	High
Reconnaissance, X-125	8.8	30	Brook and cutthroat trout (naturally reproducing)	Low
Rock1, X-96	4.8	19	Brook trout	Low
Rock 2, X-97	7.7	17	Brook trout (stocked)	Low
Rosalie, X-130	8.1	8	Brook trout (stocked)	Low
Rudolph 1, X-39	25.6	46	Brook trout (stocked)	Moderate
Rudolph 2, X-40	2.9	9	Brook trout (stocked)	Moderate
Rudolph 3, X-41	2.4	14.5	Brook trout	Low
Sea Lion, RC-11	7.9	11	Cutthroat trout (stocked)	Low
Shadow, X-1	7.2	22	Brook and cutthroat trout	Moderate
Shamrock, X-98	18.2	33	Brook trout (stocked)	Moderate
Squaw, X-95	10.4	9	Brook trout (stocked)	High
