letter_number,printed_name,species,stocking_cycle,other_species,n_sampled,mean_length_in,max_length_in,mean_weight_lb,max_weight_lb,note,source_edition
WR-1,Robb,Brookies,2/3,\N,31,11.7,15.9,0.49,2.12,\N,2025
WR-12,Larvae,Brookies,2,\N,17,9.6,14.0,0.31,1.01,\N,2025
WR-17,Lower Rock,Brookies,NR,TG,40,12.2,15.2,0.66,1.46,Tiger trout are stocked every 5 years into Lower Rock.,2025
WR-35,Rassmussen 1,Brookies,5,\N,117,9.6,13.0,0.33,0.76,\N,2025
WR-36,Rassmussen 2,Brookies,5,\N,75,10.3,13.4,0.39,0.88,\N,2025
WR-4,Queant,Brookies,5,\N,149,11.0,15.9,0.51,2.13,\N,2025
WR-40,Wooley,Brookies,5,CT,93,9.8,11.7,0.31,0.5,\N,2025
WR-41,Saucer,Brookies,2/3,\N,1,6.8,6.8,0.09,0.09,\N,2025
WR-42,Sand,Brookies,NR,CT,81,10.5,14.6,0.45,1.23,\N,2025
WR-43,Dollar,Brookies,NR,CT,36,10.4,19.7,0.5,2.21,\N,2025
WR-44,Ted’s,Brookies,2/3,\N,75,12.5,18.7,0.94,2.96,\N,2025
WR-45,Pearl,Brookies,NR,CT,76,10.4,13.6,0.4,0.78,\N,2025
WR-48,Watkins,Brookies,2/3,\N,62,13.2,17.7,0.9,2.02,\N,2025
WR-49,Cliff,Brookies,5,"TG,CT",85,10.6,13.7,0.46,1.05,Tiger trout are stocked in addition to Brook Trout in Cliff Lake,2025
WR-50,Workman,Brookies,NR,CT,17,12.5,18.9,1.07,4.13,\N,2025
WR-52,Papoose,Brookies,5,CT,22,8.5,11.6,0.26,0.64,\N,2025
WR-53,Moccasin,Brookies,NR,CT,100,8.5,14.3,0.25,1.04,\N,2025
WR-54,Wigwam,Brookies,NR,CT,57,9.7,16.0,0.42,2.18,\N,2025
WR-55,Walk-up,Brookies,5,\N,10,9.9,11.2,0.3,0.46,\N,2025
WR-58,Elbow,Brookies,3,\N,56,12.8,16.7,0.86,1.85,\N,2025
WR-6,Point,Brookies,5,CT,54,11.7,14.8,0.64,1.2,\N,2025
WR-64,Chepeta,Brookies,NR,CT,99,10.7,16.0,0.48,1.64,\N,2025
WR-7,Cleveland,Brookies,5,CT,132,9.8,14.0,0.37,1.25,\N,2025
WR-75,Nellie,Brookies,NR,CT,9,11.5,14.7,0.64,1.19,pamphlet prints WR-25,2025
WR-76,Eric,Brookies,NR,CT,16,12.5,14.8,0.84,1.46,\N,2025
WR-77,Becky,Brookies,2/3,CT,39,11.3,13.1,0.44,0.89,\N,2025
WR-8,Taylor,Brookies,5,\N,33,12.2,16.1,0.81,1.98,\N,2025
WR-9,Denise,Brookies,3,\N,7,13.3,15.5,1.15,1.81,pamphlet prints WR-8,2025
WR-14,Upper Rock,Cutthroats,2/3,\N,62,11.7,20.5,0.82,3.2,\N,2025
WR-16,Middle Rock,Cutthroats,2/3,\N,39,9.4,17.5,0.65,1.71,pamphlet prints WR-67,2025
WR-17,Lower Rock,Cutthroats,NR,"TG,BK",9,13.4,16.5,1.24,1.83,\N,2025
WR-19,Angel,Cutthroats,3,"GRY,TGMK",20,10.2,17.3,0.39,2.04,\N,2025
WR-34,Katy,Cutthroats,2/3,\N,36,13.0,14.8,0.75,1.17,\N,2025
WR-42,Sand,Cutthroats,5,BK,40,9.3,12.1,0.29,0.57,\N,2025
WR-43,Dollar,Cutthroats,NR,BK,52,9.1,10.8,0.26,0.44,\N,2025
WR-45,Pearl,Cutthroats,2/3,BK,40,9.3,12.7,0.31,0.68,\N,2025
WR-49,Cliff,Cutthroats,NR,"BK,TG",11,12.5,15.0,0.65,1.11,\N,2025
WR-5,Ogden,Cutthroats,2/3,\N,66,11.9,15.4,0.65,1.27,\N,2025
WR-50,Workman,Cutthroats,NR,BK,105,9.2,14.2,0.35,1.08,\N,2025
WR-53,Moccasin,Cutthroats,5,BK,43,10.0,15.5,0.38,1.39,\N,2025
WR-54,Wigwam,Cutthroats,NR,BK,18,9.3,13.0,0.29,0.73,\N,2025
WR-56,Figure Eight,Cutthroats,NR,\N,56,7.7,11.7,0.2,0.57,pamphlet prints 'Figure Eight'; DB names WR-56 'Figure-Eight',2025
WR-57,Sharlee,Cutthroats,NR,\N,148,8.4,13.4,0.22,0.64,\N,2025
WR-63,Hidden,Cutthroats,2,\N,13,9.6,12.7,0.32,0.59,\N,2025
WR-64,Chepeta,Cutthroats,4,BK,35,11.5,16.5,0.56,1.54,\N,2025
WR-65,Hell Hole,Cutthroats,3,\N,15,8.1,10.2,0.24,0.36,\N,2025
WR-66,Reader,Cutthroats,MIG,GRY,30,9.2,11.8,0.34,0.78,\N,2025
WR-67,Horseshoe,Cutthroats,2/3,\N,64,10.2,15.0,0.49,1.49,\N,2025
WR-7,Cleveland,Cutthroats,NR,BK,8,12.1,15.1,0.64,1.08,\N,2025
WR-73,Tamara,Cutthroats,5,\N,66,10.5,16.9,0.49,1.9,\N,2025
WR-74,Ann,Cutthroats,3,\N,7,9.8,11.5,0.44,0.7,\N,2025
WR-75,Nellie,Cutthroats,5,BK,19,11.1,14.6,0.57,1.21,\N,2025
WR-76,Eric,Cutthroats,NR,BK,18,10.3,13.5,0.37,0.71,\N,2025
WR-77,Becky,Cutthroats,NR,BK,6,12.1,13.4,0.63,0.9,\N,2025
JW-1,Deadfall,Grayling,3,\N,54,9.2,10.3,0.23,0.38,\N,2025
WR-19,Angel,Grayling,NR,"CT,TGMK",46,10.7,14.5,0.38,1.0,\N,2025
WR-29,Dead,Grayling,3,\N,16,12.4,13.0,0.67,0.79,\N,2025
WR-30,Johnson,Grayling,3,\N,0,\N,\N,\N,\N,\N,2025
WR-33,Cirque,Grayling,3,\N,15,12.0,13.7,0.59,0.87,\N,2025
WR-66,Upper Reader,Grayling,3,CT,0,\N,\N,\N,\N,\N,2025
