letter_number,printed_name,sub_drainage,access,trail_miles,elevation_ft,size_acres,depth_ft,campsites,spring_water,horse_feed,fish_species,stocking_cycle,note,source_edition
\N,BR-54,Hayden Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
\N,Fish,West Fork,"South half USFS, north half private; access from southeast",0.5,9800,42.6,\N,Y,N,Y,Brook,NR,\N,2025
BR-1,Bourbon,Hayden Fork,Whiskey Cr Trail near Sulphur CG,1.0,9820,2.0,8,N,Y,N,Brook,1,\N,2025
BR-10,Beaver,West Fork,"Road southwest of Whitney Dam, 9 mi from Hwy 150",\N,9420,13.2,32,Y,N,-,Rainbow,1,\N,2025
BR-11,Lily,East Fork,2 mi on unimproved road from Hwy 150,\N,8890,10.5,20,Y,N,-,Rainbow,1,\N,2025
BR-12,Scow,Stillwater Fork,East Fork Trailhead – Boundary Cr Trail,3.25,10100,21.4,6,Y,Y,Y,Brook,2,\N,2025
BR-14,McPheters,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,9.0,10860,28.3,45,N,Y,N,Tiger,1b,\N,2025
BR-15,Ryder,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,8.5,10620,24.4,55,Y,Y,limited,Brook,NR,\N,2025
BR-16,BR-16,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,8.3,10610,1.3,5,Y,N,Y,Brook,NR,\N,2025
BR-17,BR-17,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,8.7,10630,2.8,7,Y,Y,limited,Brook,NR,\N,2025
BR-18,BR-18,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,8.7,10610,5.5,12,Y,Y,limited,Brook,NR,\N,2025
BR-19,Meadow,Stillwater Fork – Middle Basin,Christmas Meadows TH to Middle Basin,8.7,10470,2.8,5,Y,Y,Y,Brook,NR,\N,2025
BR-2,BR-2,Hayden Fork,100 yds downstream of Bourbon Lake,1.1,9780,0.7,5,Y,N,limited,Brook,3a,\N,2025
BR-20,Kermsuh,Stillwater Fork – West Basin,Christmas Meadows TH to Kermsuh Lake Trail,6.75,10300,11.8,14,N,Y,Y,Cutthroat,NR,\N,2025
BR-21,BR-21,Stillwater Fork – West Basin,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
BR-22,BR-22,Stillwater Fork – West Basin,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
BR-23,BR-23,Stillwater Fork – Middle Basin,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
BR-24,BR-24,Stillwater Fork – Ostler Fork,Christmas Meadows TH to Ostler Fork Trail,5.1,10460,2.3,10,Y,Y,Y,Tiger,4,\N,2025
BR-25,Toomset,Stillwater Fork – Ostler Fork,Christmas Meadows TH to Ostler Fork Trail,5.25,10300,2.3,11,N,N,N,Brook,NR,\N,2025
BR-26,Salamander,Stillwater Fork – Ostler Basin,Christmas Meadows TH to Ostler Fork Trail,3.5,10020,3.7,13,N,N,N,Brook,3,\N,2025
BR-27,Ostler,Stillwater Fork – Ostler Basin,Christmas Meadows TH to Ostler Fork Trail,5.5,10540,13.2,14,Y,Y,limited,Tiger,3,\N,2025
BR-28,Amethyst,Stillwater Fork – Ostler Fork,Christmas Meadows TH to Ostler Fork Trail,6.25,10750,43.7,59,Y,Y,N,Brook,NR,\N,2025
BR-29,Hell Hole,Stillwater Fork – Main Fork,Trail begins on Hwy 150 across from Gold Hill turnoff,5.0,10340,9.1,9,Y,Y,Y,Cutthroat,NR,\N,2025
BR-3,Whiskey Island,Hayden Fork,"Hwy 150 to FR110 to FR636 to FR711, hike west/nw",0.6,10340,5.0,19,N,N,N,Grayling,1,\N,2025
BR-30,BR-30,Stillwater Fork – Main Basin,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
BR-31,Seidner,Stillwater Fork,Christmas Meadows TH to minor west side drainage,4.25,10460,3.0,8,Y,Y,Y,Brook,NR,\N,2025
BR-32,Teal,Hayden Fork,1.25 mi northwest of Ruth Lake,2.0,10260,6.8,14,Y,N,N,Tiger,3a,\N,2025
BR-34,BR-34,Hayden Fork,Hwy 150 to FR636,0.7,10390,2.1,7,Y,N,limited,Tiger,3,\N,2025
BR-35,BR-35,Hayden Fork,0.4 mi west of BR-34,1.1,10470,1.3,4,Y,N,limited,Tiger,2,\N,2025
BR-36,Hayden,Hayden Fork,0.25 mi west of Ruth Lake,1.1,10420,3.6,5,Y,Y,limited,Tiger,2,\N,2025
BR-37,Cutthroat,Hayden Fork,1 mi west of Ruth Lake,1.7,10390,3.4,16,Y,Y,N,Brook,3a,\N,2025
BR-38,Jewel,Hayden Fork,0.7 mi northwest of Ruth Lake,1.4,10300,2.4,13,Y,N,Y,Cutthroat,NR,\N,2025
BR-39,Naomi,Hayden Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
