hike_number,letter_number,match_method,is_primary
1,A-18,name,0
2,A-18,name,1
2,DF-17,name,0
3,A-37,name,0
3,GR-128,name,0
4,A-14,name,0
4,A-23,name,0
4,A-37,name,0
4,A-56,name,0
4,BR-10,name,0
4,GR-128,name,0
4,GR-132,name,1
5,A-12,name,0
5,A-37,name,0
5,A-50,name,0
5,A-7,name,0
5,GR-128,name,0
6,A-28,name,0
6,A-29,name,0
6,G-5,name,1
6,GR-128,name,0
7,A-27,name,0
7,A-28,name,0
7,A-35,name,0
7,A-61,name,0
7,G-5,name,0
7,GR-128,name,0
7,GR-149,name,0
7,U-59,name,1
7,W-21,name,0
7,W-23,name,0
8,A-28,name,0
8,A-29,name,0
8,A-61,name,0
8,GR-128,name,0
8,U-59,name,0
8,X-77,name,1
9,A-29,name,0
9,A-61,name,0
9,BR-19,name,0
9,GR-128,name,0
9,W-23,name,0
9,W-24,name,1
10,Z-3,name,0
11,A-61,name,0
11,GR-128,name,0
11,W-36,name,1
11,W-37,name,0
11,Z-40,name,0
12,Z-10,name,0
12,Z-11,name,0
12,Z-7,name,1
12,Z-8,name,0
12,Z-9,name,0
13,Z-3,name,1
14,X-22,name,0
14,Z-3,name,0
15,W-67,name,1
15,Z-1,name,1
16,Z-13,name,1
16,Z-14,name,1
16,Z-15,name,1
16,Z-3,name,0
17,D-1,name,0
17,D-12,name,0
17,Z-3,name,0
17,Z-34,name,0
17,Z-35,name,1
18,DF-1,name,1
18,Z-3,name,0
19,Z-42,name,1
20,Z-3,name,0
20,Z-38,name,0
20,Z-40,name,0
21,X-112,name,1
21,X-123,name,0
21,X-124,name,0
21,X-127,name,0
21,X-132,name,0
21,Z-3,name,0
22,GR-125,name,1
22,GR-131,name,0
22,W-49,name,0
23,GR-128,name,0
23,W-23,name,0
23,W-30,name,1
23,W-31,name,0
24,W-40,name,0
24,Z-5,name,0
25,BR-37,name,0
25,W-40,name,0
25,W-41,name,1
25,Z-12,name,0
25,Z-3,name,0
26,BR-40,name,1
26,W-41,name,0
26,Z-12,name,0
26,Z-3,name,0
27,BR-2,exact,0
27,BR-3,name,0
27,GR-132,name,0
27,Z-3,name,0
28,A-1,exact,1
28,BR-29,name,1
28,Z-3,name,0
29,BR-15,name,0
29,BR-17,exact,0
29,BR-18,exact,0
29,BR-19,exact,0
30,BR-20,name,1
31,BR-24,exact,1
31,BR-27,name,0
31,BR-28,name,0
32,BR-24,exact,0
32,BR-27,name,0
32,BR-28,name,1
33,X-10,name,0
33,X-13,name,0
33,X-3,name,0
33,X-9,name,1
34,X-3,name,0
34,X-5,name,1
34,X-9,name,0
35,GR-132,name,1
35,X-2,name,0
35,X-6,name,0
35,X-8,name,1
35,X-9,name,0
36,GR-132,name,0
36,X-22,name,0
36,X-8,name,0
36,X-9,name,0
36,Z-24,name,1
36,Z-25,name,0
36,Z-30,name,0
37,A-59,name,0
37,X-9,name,0
37,Z-30,name,0
37,Z-44,name,1
37,Z-46,name,0
38,X-113,name,1
38,X-117,name,0
38,X-121,name,0
39,A-10,name,0
39,A-22,name,0
39,X-42,name,0
39,X-98,name,0
40,RC-42,name,0
41,RC-20,name,0
41,RC-23,name,1
41,X-9,name,0
42,A-7,name,0
42,GR-132,name,0
42,X-31,name,0
42,X-35,name,1
42,X-82,name,0
43,A-7,name,0
43,GR-47,name,0
43,LF-8,exact,0
43,X-31,name,0
43,X-35,name,0
43,X-63,name,0
43,X-64,name,0
43,X-74,name,0
43,X-75,exact,0
43,X-77,name,0
43,X-79,name,0
44,LF-16,exact,0
44,X-81,name,0
44,X-82,name,1
44,X-84,exact,0
44,X-85,exact,0
44,X-86,exact,0
45,LF-18,name,0
46,LF-21,name,1
46,LF-30,name,0
46,LF-35,exact,0
46,LF-36,name,0
46,X-94,name,0
47,LF-25,name,1
48,X-103,name,0
48,X-104,name,0
48,X-109,name,1
48,X-110,name,0
48,Y-36,exact,0
48,Y-37,exact,0
49,S-15,name,1
50,X-55,name,1
50,X-56,name,0
51,X-23,name,1
51,X-26,exact,0
51,X-54,name,0
51,X-55,name,0
52,X-23,name,0
52,X-55,name,0
53,U-73,name,1
53,X-23,name,0
53,X-55,name,0
54,A-42,name,1
54,X-107,name,0
54,X-108,name,1
54,Y-2,exact,0
54,Y-4,exact,0
54,Y-5,exact,0
56,GR-132,name,0
56,U-5,name,0
56,U-9,name,0
57,U-15,name,0
57,U-19,exact,0
57,U-21,exact,0
57,U-74,name,0
58,U-85,name,0
58,U-88,exact,0
