hike_number,name,region_part,trailhead_name,start_trailhead,distance,destination_elevation,hiking_time,difficulty,usage,nearest_town,drainage,narrative,finding_trailhead,source_pages,source_file
1,Upper Setting Road to East Shingle Creek and Erickson Lakes,1,\N,End of Upper Setting Road,5.6 miles out and back,"10,020 feet",4 hours,Easy—one steep section,Moderate,"Kamas, Utah",Weber River,"North Erickson Lake sits at the head of Smith and Morehouse Creek in Erickson Basin. It can be reached from the Smith and Morehouse trailhead, but it is easier to start hiking from the end of Upper Setting Road in the Provo River Drainage. It is less than 3 miles to North Erickson on a good trail with generally gradual evaluation gain. The 6-mile-long Shingle Creek Trail that begins right off Highway 150 merges with Upper Setting 1.2 miles in, at which point you’re only 0.2 mile from East Shingle Creek Lake, an option for camping or fishing for tiger trout. Continuing on, you have to go over the mountain to reach Erickson Basin, but it’s not very steep (as mountain passes go). Stay with the trail, or you might walk right past the lake. It is in a bit of a hole surrounded by pines. A


 
 
 
 

 View over the slickrock and South Erickson Lake from the pass between Erickson Basin and Big Elk Lake 



 

 Though the camping is better at North Erickson, South Erickson is a pretty little lake worth visiting. 



 mile farther and you’ll reach the steep but manageable drop down the ridge to Big Elk Lake—just pay extra attention to the trail and your GPS on the return climb.



 The best campsites are on the west side of the lake, just off the trail. Spring water is plentiful around the lake. If you camp on the west side as suggested, an ice-cold spring that feeds into the southwest corner of the lake will serve your water needs nicely. And a quick UV or other filtration process will kill the bugs and keep you hydrated and safe.



 South Erickson is just a hop, skip, and a jump to the south (0.25 mile). This pretty alpine lake abuts a talus slope and provides some excellent photo opportunities, but camping and fishing are better at North Erickson Lake. Large slickrock formations are prevalent between the two lakes. It is worth the hike over to South Erickson just to experience the unique terrain.



 Back at North Erickson, the fish await. Actually, you’ll probably do most of the waiting. The fish seem to feed mostly at dusk and dawn, especially the big ones. Brook trout exceeding 18 inches in length and 2 pounds in weight can be caught if you’re patient—and lucky—enough and can cast longer distances.","From Kamas, take the Mirror Lake Scenic Byway (Highway 150) about 8.7 miles to Upper Setting Road. Turn left onto the dirt road and twist your way up the mountain until the road ends. Though the road is graded, high-clearance or four-wheel drive may be necessary in some conditions or for a few rough spots.",\N,Chapter01.xhtml
2,Norway Flats Road to Big Elk Lake,1,\N,Norway Flats,3 to 5 miles out and back,"10,020 feet",2 to 4 hours,Moderate—one steep section,Heavy,"Kamas, Utah",Provo River,"From the end of Norway Flats Road, Little Elk Lake is about 0.3 mile to the west of the trail. Continue another 0.8 mile to a trail junction and Big Elk Lake. The trail itself is often shaded as it rises and falls through the forest. It passes a meadow around 0.5 mile that can fill with wildflowers in the summer.



 At Big Elk Lake, fishing is generally good for stocked brook and cutthroat trout. A raft or canoe would be nice to escape the crowds and the bugs, but you can do just fine from shore. When the mosquitoes swarmed at dusk during my visit, the fish rose and flopped all over the lake. I braved the bugs for a few obligatory casts. Fish with a small fly during the morning and evening, and you should have little trouble catching enough for a hearty meal.


 
 

 

 Daybreak at Big Elk Lake 



 Campsites are available on the south and east sides of this deep reservoir. Big Elk receives heavy pressure, especially on weekends. If you visit during the week, there might not be anybody else there. Pack out your litter and help keep Big Elk a clean and fun place to explore.","One of the hardest parts about this trek is finding the right road. From Kamas, go 15 miles west on Highway 150 to FR 035 and turn left. This road climbs onto Norway Flats. Norway Flats Road starts innocently enough as it turns off Highway 150, but it forks several times where there are no markers. Stay with the road that shows the most wear until you are about 6 miles from Highway 150; turn right (east). If you stay on the road most traveled (to the left), you will end up at a beaver pond just below Hourglass Lake. This is the wrong starting place. Go back to the road that turned east and follow it down to the trailhead. You may need a high-clearance, 4WD vehicle with exceptional tires to cover the last couple of miles to the trailhead. Most drivers pull over to park when it gets rough and hike the rest of the way.",\N,Chapter02.xhtml
3,Long Pond,1,Crystal Lake Trailhead,Crystal Lake trailhead,4 miles out and back,"10,100 feet",2.5 hours,Easy,Moderate,"Kamas, Utah",Provo River,"Day hikers should bring their cameras and a picnic and enjoy the stroll. Though rocky at times, there are only a couple hundred feet in elevation gain. Just remember you’re starting above 10,000 feet! For anglers, Long Pond has a variety of trout habitat to test your skills. Shallows, pools, rocks, and a few deadfalls combine to give you an array of fishing challenges. Expect the unexpected when exploring Long Pond. The trout you’ll likely catch offer variety too. Count on a mixed bag of cutthroat and brook trout, which migrate from Long Lake. Since it has no water flow in winter, Long Pond is not stocked. But enough trout from Long Lake sneak into the pond to make fishing exciting.



 From Crystal Lake trailhead parking, take the Lakes Country Trail for about 1.5 miles to a trail junction. On the way, the trail will climb around 300 feet to Watson Pass. At the junction veer right but then stay left: The spur to the right drops into the Middle Fork of the Weber River. Stay left for 0.6 mile to Long Lake. Cross the creek and continue another 0.1 mile to Long Pond.



 Good campsites can be found along Long Pond. This is a good spot to camp for a small group (four or fewer). Usually it is a peaceful, serene place, sitting just down the hill from Long Lake—out of sight and out of earshot from the crowds at the lake. It is not a good area for horses to stop, so you will avoid them too.",\N,22–23,Chapter04.xhtml
4,Island Lake,1,Crystal Lake Trailhead,Crystal Lake trailhead,7.6 miles out and back,"10,140 feet",4.5 hours,Moderate—some steep sections,Moderate,"Kamas, Utah",Provo River,"From Crystal Lake trailhead parking, take the Lakes Country Trail for about 1.5 miles to a trail junction. On the way, the trail will climb around 300 feet to Watson Pass. At the junction veer right but then stay left: The spur to the right drops into the Middle Fork of the Weber River. Stay left for 0.6 mile to Long Lake. Cross the creek and continue another 0.1 mile to Long Pond. Continue another 1.5 miles to Island Lake.



 There are sheltered campsites on the east side of the lake. The cleanest source of spring water might be available near the northeast corner—be sure to treat before drinking. Island Lake is picturesque, with its high cliffs dropping straight into deep water along the northern shore. (If you’ve come for the cliff jumping, be warned: The water is cold.) Whether you are looking at these cliffs from across the lake or standing on top of them, you’ll want your camera handy.



 Large, wary cutthroat make fishing unpredictable. These fish are well fed by a healthy population of freshwater shrimp, and they don’t hit a dry fly as readily as trout do on other backcountry lakes. Try a pink shrimp imitation. You will only need a couple of these trout to fill the frying pan. Faster fishing may be found over the hill about 0.25 mile to Junior Lake. This tiny lake is often overlooked by anglers and usually provides very good fishing for smaller trout. Keep going a little farther and you’ll descend to Fire Lake, where fishing can be fast at times. The lake doesn’t get too much pressure, since it is situated in steep, rocky terrain; camping opportunities are nearly nonexistent. Other good fishing lakes in the immediate area are Duck and Beaver Lakes.



 Back at Island Lake, enjoy a peaceful sunset, or stand atop the cliffs and peer into the depths of the lake for cruising trout. This lake will not satisfy true “solitude seekers,” but it is a quick getaway.



 

 The 100-acre Washington Lake sits just to the south of the trailhead for the magnificent Lakes Country loop.",\N,22–23,Chapter05.xhtml
5,Lakes Country,1,Crystal Lake Trailhead,Crystal Lake trailhead,7.4-mile loop,"10,325 feet",4.5 hours,Moderate,Heavy,"Kamas, Utah",Provo River,"From Crystal Lake trailhead parking, take the Lakes Country Trail for about 1.5 miles to a trail junction. Veer right but then stay left: The spur to the right drops into the Middle Fork of the Weber River. Stay left for 0.6 mile to Long Lake. Continue for about 1 mile beyond Long Lake, where you’ll arrive at the fork that will begin the loop with a quick switchback north then south to Duck Lake.



 At around 9,800 feet, Duck Lake is the lowest elevation spot on the loop, which means a climb of about 500 feet on the lower branch of the loop before the final 1-mile descent back to the trailhead. For backpackers, there are excellent dispersed camp options at both Duck and Wier Lakes, and a great spring near Duck. A 0.5-mile loop around Weir Lake accesses ideal camp options. The whole of the Lakes Country loop is family and scout friendly, so summer weekends may present a shared outdoor experience.



 This description of Lakes Country follows the loop counterclockwise from the first trail junction above. A clockwise loop works just as well! From that same junction, turning left to the southwest it’s 0.3 mile to pick up the loop trail. Alternatively, many have found solitude by taking the left fork south to Marjorie Lake. It’s 1 mile through lush forest and green meadows. Overnighters can hike around the lake to find the perfect spot. Anglers can fish for brook trout or arctic grayling.",\N,22–23,Chapter06.xhtml
6,Cliff Lake,1,Crystal Lake Trailhead,Crystal Lake trailhead,1 mile out and back,"10,230 feet",1 hour,Easy,Heavy,"Kamas, Utah",Provo River,"Cliff Lake is close enough to the trailhead that you should have plenty of time to watch the sunset and still make it back to the car before dark. It’s also a great place to try out some new gear before taking on a more serious hike.



 From Crystal Lake trailhead, take the Lakes Country Trail 0.4 mile to the Clyde Lake Trail at a signed junction. It’s only another 0.4 mile to Cliff Lake. (The trail to the right from the parking lot goes to Wall Lake and the Notch, or serves as the return trail on a 5.4-mile loop.)



 Expect to see a fair amount of foot traffic pass this lake. Anglers and day hikers have to pass by to get to the many lakes above. Cliff Lake is obviously not for loners, but if you’re the friendly type and enjoy a quaint little spot with a gorgeous view, then this may be for you.



 A small population of cutthroat trout will keep you company. However, the fishing is likely to be only fair due to the easy access and the wary nature of these trout. Better fishing can be found by continuing up the trail another mile to Clyde Lake. Most hikers don’t stop at Cliff Lake very long, but almost all remember the pleasant scenery. Try this trail on a weekday, and you might have it all to yourself.",\N,22–23,Chapter07.xhtml
7,Divide Lakes,1,Crystal Lake Trailhead,Crystal Lake trailhead,5 miles out and back,"10,460 feet",3 hours,Moderate—some steep sections,Moderate,"Kamas, Utah",Provo River,"This hike is a great overnighter for small groups—or a wonderful escape if you are camped at Trial Lake and want to get away from camp for a spell. You couldn’t ask for a better nature trail; it offers a wide variety of scenery, complete with fishing holes.



 From Crystal Lake trailhead, take the Lakes Country Trail 0.4 mile to the Clyde Lake Trail at a signed junction. On your hike, you’ll pass Cliff, Petit, Linear, and Watson Lakes, all west of the trail. At about 2 miles, you will pass Clyde Lake on the right and Mount Watson on the left. It’s another 0.3 mile to the Divide Lakes.



 The best places to camp are at the west end of Divide Lake 2 and between Divide Lake 1 and Divide Lake 2. Choose the latter site if the weather looks to be fair; otherwise seek the safety of the pines at Divide Lake 2. Although these lakes are less than 100 yards apart, Divide Lake 1 is on the Provo River drainage (part of the South Slope), and Divide Lake 2 is on the Weber River drainage (North Slope). There is a large rock between the two lakes—when rain falls on the rock, half the water heads toward the Provo River and half toward the Weber.



 Several springs are located on the west end of Divide Lake 2. They are conveniently close to camp, easy to treat, and ice cold. Small lakes abound, and there is plenty to do and see without wandering too far. Nearby Booker Lake offers fair fishing, but you’ll probably do better right at Divide Lake 1, which has a nice population of smallish brook trout. For best results, try the deeper southwest corner of the lake with a tiny fly.



 If you’re after bigger fish, try Little Hidden Lake on the Weber drainage. You’ll want a topographical map and a compass to find it. There is no trail, but stay close to the mountain to the east, and head north about 0.5 mile. This lake has brookies ranging from 0.5 pound to well over 1 pound. A #16 Renegade fly, cast in the northwest end of the lake, should put a few nicer trout in the creel. Be quiet here—the fish have learned to disappear when noisy visitors appear. As long as you’re quiet, they’ll keep biting. If you prefer filtering from springs, there is one to the northeast.



 From Divide Lakes notice “The Notch” in the mountains to the northeast. This well-known pass is a thing of beauty, especially when you’re on it. From the top of Notch Pass is a spectacular view right down into Lovenia Lake. It’s worth the mile trip over; or you could go there on your way back to the trailhead. The Notch Pass Trail returns to Crystal Lake trailhead too.



 

 Clyde Lake sits just below the three Divide Lakes—all four are pictured in the foreground on the cover. PHOTO COURTESY UTAH OFFICE OF TOURISM/MORE THAN JUST PARKS",\N,22–23,Chapter08.xhtml
8,Twin Lakes,1,Crystal Lake Trailhead,Crystal Lake trailhead,5.4 miles out and back or loop,"10,410 feet",3 hours,Easy—one steep section,Moderate,"Kamas, Utah",Provo River,"It’s much easier to find Twin Lakes than it used to be. A low-slung metal sign and well-tread trail replaced the rock piles that once marked the way. Begin your journey at the Crystal Lake trailhead, from the northeast Wall Lake Trail. Follow the trail 1.1 miles to Wall Lake. There is a trail junction here with the trail coming from Trial Lake. Continue to the left (north) up some steep rocky switchbacks. Just past the top of all the switch-backs, before the base of Notch Mountain, turn at the sign and follower the trail west to Lower Twin Lake.



 Twin Lakes offer a number of natural amenities. The vista is pretty and only a short distance from the trailhead. Fishing is good for 9-to 15-inch brook trout, and other exciting excursions lie just beyond the immediate. Spring water is only found in the early summer months, and camping areas are only fair due to rocky terrain. However, there is one excellent campsite near the northwest end of Upper Twin. This site sits on a bench overlooking the lakes.



 Another option for visiting Twin Lakes is on the loop that follows the Divide Lakes Trail, turning east on the north side of Clyde Lake. It’s 0.5 mile to North Twin Lake and the whole loop is about the same distance as the out-and-back approach.



 

 The view from Notch Pass to the south over Wall and Twin Lakes (at right), Haystack Mountain at center",\N,22–23,Chapter09.xhtml
9,Ibantik Lake,1,Crystal Lake Trailhead,Crystal Lake trailhead,8.4 miles out and back,"10,100 feet",5.5 hours,Moderate—steep over Notch Pass,Heavy,"Kamas, Utah",Weber River,"The trail from Crystal Lake trailhead goes north 1.1 miles to Wall Lake. There is a trail junction here with the trail coming from Trial Lake. Continue to the left (north) 1.6 miles past Lovenia Lake on the west side of the trail to the notch in Notch Mountain. Ibantik Lake is 0.6 mile northeast of the Notch.



 Campsites exist at Lovenia Lake, but there are better ones and fewer people at Ibantik. There is more room for the crowds to disperse once you reach Ibantik Lake. It is well suited for a half-day hike or a quick overnighter. Some backpackers can’t get to the trail-head until evening. Ibantik might be ideal for someone getting a late start—strong hikers could reached the site within 2 to 2.5 hours of Crystal Lake trailhead.



 Day anglers frequently try their luck in this area. Lovenia, Ibantik, and Meadow Lakes to the north all receive frequent plants of brook and cutthroat trout. The fishing may be good or poor, depending on the time of year, the time of day, or your own fishing skill. Keep in mind that these lakes get heavy pressure, so don’t be surprised if many of the fish are wary—or have already been caught.


 
 

 

 On the North Slope of the Uintas, the lovely Lovenia Lake, seen here from Notch Pass, sits just southwest of Ibantik.",\N,"39, 22",Chapter10.xhtml
10,Bald Mountain,1,Bald Mountain Pass,Bald Mountain trailhead,2.8 miles out and back,"11,943 feet",2.5 hours,Moderate—steady climbing,Heavy,"Kamas, Utah",Duchesne River,"The Weber, Provo, Duchesne, and Bear Rivers all begin near here. Looking to the west, you can spot a couple dozen lakes that speckle the upper regions of the Provo and Weber Rivers. Turn around to the east and enjoy a spectacular view of the Mirror Lake Scenic Byway winding its way through heavy timber, past Mirror Lake, and on toward Mount Agassiz and Hayden Peak.



 This hike begins at the well-marked Bald Mountain trailhead, located at the base of Bald Mountain. You start climbing immediately and will soon find yourself traversing a series of switchbacks on the western slope. The view is great all the way, and it somehow manages to improve with every step. Listen for and then look for the unique small mammals known as pikas along the way. Near the summit, the trail follows a thin ridge with steep drops off either side. There’s really no danger if you stick with the trail, but a person with acrophobia might feel uncomfortable. Then take a natural rock stairway to what feels like the top of the world.



 Take your time on this hike. It is steep. Mind your steps. Allow about three hours for a round-trip, which should give you plenty of time at the top to appreciate the views in every direction. Remember:



 1. Stay off Bald Mountain when lightning is possible.



 2. Don’t get too close to the cliff edges on the east side—they can break away.



 Follow these rules on Bald Mountain and any other exposed trail or summit you attempt. And certainly don’t let this scare you away. This hike is time well spent.



 

 Smoke from the East Fork Fire created a hazy atmosphere atop Bald Mountain.",\N,"38, 42",Chapter12.xhtml
