name,region_part,description,maps
Bald Mountain Pass,1,"For peak baggers, the Uinta Mountains present an array of remote, rocky scrambles that are slow-going and simply not advisable for many casual hikers. While Bald Mountain has its fair share of loose scree and ankle-twisting potential, it is one peak many visitors to Utah’s Uintas can bag. One reason is access: The beautiful, paved Mirror Lake Scenic Byway climbs Bald Mountain Pass, taking drivers above 10,700 feet. That leaves barely 1,200 feet for the hike itself. From the same trailhead, hikers can descend the North Slope to Notch Lake or drive about 1 mile over the pass to the Fehr Lake trailhead for another popular, family-friendly option.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338

From Kamas, take the Mirror Lake Scenic Byway (Highway 150) 30 miles to Bald Mountain overlook. About 0.5 mile north of the overlook is the left turn to Bald Mountain. Bald Mountain has space for twenty-five cars and offers picnic tables and toilets. No water is available. Bald Mountain trailhead is heavily used by hikers making the 2.5-mile trek to the top of Bald Mountain, where you can peer into four major drainages. For Fehr Lake, continue 1.3 miles over the pass to the trailhead parking lot on the right. If you pass Moosehorn Lake, you’ve gone a little too far.

Bald Mountain Pass is the highest point on the Mirror Lake Scenic Byway and the highest paved road in Utah.","USGS Mirror Lake, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Center Park Trailhead,2,"If trucks hauling fifth wheels and horse trailers can navigate the narrow, rocky road called Hells Canyon to Center Park trailhead, surely anyone can make it, right? Not so fast. Literally, don’t go fast if you’re in a lower-clearance vehicle or there is any doubt about the condition of your tires.

Once at the trailhead, enjoy a wide-open parking area (where I left a Redington fly rod) and your choice of a couple of unique out-and-back trail options: the rolling terrain of Spider Lake or the down-then-up and varied terrain of Toquer. Fish Creek National Recreation Trail also branches off from Center Park, though it’s more commonly explored from the Moon Lake Dam side, near Lake Fork trailhead.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east 69 miles to Duchesne. Turn north on SR 87 and travel 14 miles to Mountain Home. Follow Moon Lake Road north 4 miles to where Yellowstone River Road intersects on the east side. From this point, follow Yellowstone River Road another 4 miles to Hells Canyon Road. Center Park trailhead is 7 miles northwest up Hells Canyon Road.

Center Park has room for fifteen vehicles to park and has an information board and a vault toilet. Hells Canyon Road fits its name perfectly—it is a road from hell. It is well defined but steep and very rocky. A high-clearance vehicle is recommended, and the road may require four-wheel drive when wet. But Subarus and other passenger vehicles with good tires should be able to make the trip much of the time.

The trail to Fish Creek also leads to the fork to Toquer Lake. A separate trail heads due north to Spider Lake.","USGS Garfield Basin, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Chepeta Trailhead,2,"It’s remarkable how far into the Uinta Mountains FR 110 reaches. Where it terminates at the rocky-shored Chepeta Lake, the road hits the Highline Trail, the range’s famously high-elevation and remote point-to-point route. For that reason, Chepeta makes for an alternate starting point to Highline or a resupply stop. Friends or Trail Angels have been known to leave non-perishable, nutrient-dense foods sealed in plastic bags inside the vault restroom.

At 10,568 feet, Chepeta Lake is just south and east of the designated High Uintas Wilderness boundary, and only 3.5 miles as the crow flies from the North Slope’s Spirit Lake—but it’d be a 14-mile hike over an 11,780-foot pass. There’s no campground, but there are a few lakes to fish—Chepeta is stocked with brook trout that are ideally pursued from rubber rafts—and a variety of hiking distances, not to mention the chance to hike Highline, even if only for a few miles. Chances are you’ll want to return for more.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181

From Heber City, take US 40 east 99 miles to Roosevelt. Then take SR 121 north for 11 miles to Neola. Follow SR 121 east about 5 miles to a junction. From the junction, follow a paved road north 3 miles to the town of Whiterocks. Keep on the road, heading north for 4 miles to another junction. At this point, follow Road 117, which winds east then north 18 miles to Pole Creek Junction. Then take Road 110 about 11 miles north to the Chepeta Lake trailhead. There are ten parking spots, horse corrals, and vault restrooms.

A backpacker sets out on the 65-mile Highline Trail journey from Chepeta Trailhead to Hayden Peak.","USGS Chepeta Lake and USGS Paradise Park, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
China Meadows Trailhead,3,"Though Highway 150 hikes described in Part I of this guide are some of the most accessible, China Meadows is a popular trailhead that is well worth the extra drive time and unpaved road travel to reach. There’s a small campground with a few reservable sites (plus dispersed sites near the trailhead) and nearby China Lake offers up arctic grayling, brook, and cutthroat trout. Carry cash for a trailhead fee.

Of course, those arriving from the north via Mountain View, Wyoming, will have noticed the multiple reservoirs, lakes, and campgrounds along the route pointing to the recreational appeal of this area. But for those who have come for the hiking, in addition to the excellent Hessie Lake and long-distance trek to the Highline Trail, the crown jewel of the Smiths Fork drainage is Red Castle Lake. At sunset, you’ll quickly understand how it got its name.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Mountain View Ranger District, 321 Highway 414, PO Box 129, Mountain View, WY 82939, (307) 782-6555

From Mountain View, take Highway 410 south about 6 miles to a junction. Then take Road 017 (CR 283), a well-maintained gravel road, south about 8.5 miles to a fork and continue onto Road 072, which meanders about 11 miles past Stateline Reservoir and multiple campgrounds to China Meadows.

The China Meadows trailhead has fifty parking places and offers campsites, toilets, corrals, and a stock ramp.

The East Fork Smith’s Fork winds through China Meadows on its path down the North Slope.","USGS Bridger Lake and USGS Mount Powell, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Christmas Meadows Trailhead,1,"Thanks to its glorious setting and access to incredible wilderness hikes, the Christmas Meadows area of the High Uintas inspires wonder and childlike delight in ways that have nothing to do with December 25. (Nor, it can be said, does the California prospector for whom the area was named inspire much either—but one can appreciate why he set up camp here for so long.) Pictures from the area are among the range’s most photogenic. The Stillwater Fork of the Bear River traces a sweeping meander through the green meadow of the wide glaciated valley. High mountain ridges run along both sides and appear to converge in the distance at the jagged Ostler Peak, whose 12,718 feet remain capped in snow deep into the year.

A small campground marks the end of the road. If you’re lucky enough to snag a campsite at Christmas Meadows, you won’t have a lot of company. Just eleven sites dot the small loop. But then, if you’ve come with a pack equipped for the backcountry (be it backpack or horseback), you won’t need a site. But you will need stamina: The hikes up here are long and, from the relatively low starting elevation of 8,800 feet, there’s a good amount of climbing.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Bear River Ranger Station, 32 miles south of Evanston, Wyoming, on the Mirror Lake Scenic Byway, (435) 642-6662

From Evanston, take the Mirror Lake Scenic Byway (Highway 150) south about 33 miles to the Christmas Meadows turnoff. Follow a good dirt road south about 4 miles to the trailhead.

Christmas Meadows has room for a couple dozen vehicles and a stock ramp. The nearby campgrounds have toilets and water. This popular trail leads into some of the most spectacular scenery in the High Uintas.

The Stillwater Fork of the Bear River winds through Christmas Meadows and up into the Middle Basin. PHOTO COURTESY UTAH OFFICE OF TOURISM/MORE THAN JUST PARKS","USGS Christmas Meadows and USGS Hayden Peak, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Crystal Lake Trailhead,1,"Crystal Lake is, simply put, a premier trailhead to the Western Uintas. Accessed via a short, mostly paved, spur off Highway 150, the trailhead is smack in the middle of Washington and Trial Lakes, both classic recreation destinations in the Uintas thanks to their easy access—which also makes them immensely popular. You’d be wise to reserve a campsite in the area or arrive early to get a spot in the parking lot for day hiking or backpacking, even though the Forest Service more than doubled parking in 2021.

From the trailhead, you have miles and miles of trails and cross-country routes to explore on the way to one of a dozen lakes—it’s no wonder the Forest Service calls one of the trails “Lakes Country.” Peak baggers with sure-footing and solid navigation skills could hop boulders and work their way up the scree of either Haystack Mountain or Mount Watson, though those are not covered in this book. If you’re an ambitious day hiker or backpacker with good wayfinding resources, consider continuing from Island Lake to Smith and Morehouse Reservoir.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338

From Kamas, take the Mirror Lake Scenic Byway (Highway 150) 27 miles to Trial Lake Campground. Exit left (west) onto a paved road, and travel about a mile to a fork in the road. Turn right (north) for another mile to the trailhead. This is very a popular trailhead, with room for 123 vehicles and nice toilet facilities. Water and other amenities can be found at Trial Lake Campground. Crystal Lake trail-head is the main takeoff point to many lakes only 1 to 5 miles away, including Wall, Ibantik, Meadow, Cliff, Watson, Clyde, Long, Island, Big Elk, Fire, Duck, Weir, and the breathtaking Lovenia.

The view north across Wall Lake to The Notch, a low pass through Notch Mountain to the North Slope","USGS Mirror Lake and USGS Erickson Basin, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
East Fork Bear River Area,3,"It’s worth pausing to consider how far some of the water up here travels. While the main stem of the Bear River forms at the confluence of Stillwater Fork and Hayden Fork near the Stillwater Campground, the East Fork tributary to the Bear River joins just 3 miles north. As the crow flies, the Great Salt Lake is roughly 75 miles west of the East Fork Bear River trailhead, but the Bear River winds some 350 miles to the northernmost point of the Wasatch Mountains in southeastern Idaho before bending back south on its journey to Great Salt Lake. Though your journeys from the trailheads in this area will be much shorter, they can be no less epic. Stunning high-elevation lakes and designated Wilderness experiences await.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Bear River Ranger Station, 32 miles south of Evanston, Wyoming, on the Mirror Lake Scenic Byway, (435) 642-6662

From Evanston, take the Mirror Lake Scenic Byway (Highway 150) south about 30 miles to the East Fork of the Bear River turnoff. This road is often referred to as the North Slope Road. Follow this road east 1.5 miles to a junction. Take Road 059 south about 4 miles to East Fork Bear River trailhead. There’s a vault toilet and a few places to park around the loop. You may need a 4WD vehicle for the last mile when wet. At the time of printing, the Hinckley Scout Ranch, whose turnoff is about 0.25 mile before the East Fork Bear River trailhead, remained “temporarily closed,” with no recreation permitted. That closure blocks the best access to the Boundary Creek Trail to Scow Lake. (In a 4WD vehicle or ATV, hikers can access Boundary Creek from FR 120 or from Wolverine ATV trail 301.)

The trailhead to the East Fork Bear River area with some of the 2002 burn scar visible on the range","USGS Christmas Meadows and USGS Red Knob, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
East Fork Blacks Fork Area,3,"Just as the previous chapters marveled at the path of the Bear River, this chapter pauses to appreciate the awesome source waters of the Blacks Fork. These waters travel the other way, east along the North Slope to its ultimate drainage into the Green River and Flaming Gorge Reservoir.

There are two area trailheads, one on the West Fork and one on the East Fork. Thanks to 5+ miles of tricky high-clearance road and a river crossing, the West Fork trailhead is not included in this book. (Though there’s great, easily accessible fishing at the confluence of the West Fork and East Fork found on this route.) At the East Fork Blacks Fork trailhead, you’re just a couple of miles from the High Uintas Wilderness, whether you set out to the south or to the east. Either way, this is truly a trailhead to the vastness of the range: The out-and-backs are substantial hikes and they’re connected to lengthy loops over high-mountain passes that can keep you deep in wilderness for days.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Bear River Ranger Station, 32 miles south of Evanston, Wyoming, on the Mirror Lake Scenic Byway, (435) 642-6662

From Evanston, take the Mirror Lake Scenic Byway (Highway 150) south about 30 miles to the East Fork of the Bear River turnoff. This road is often referred to as the North Slope Road. Follow this road east about 20 miles to a junction just past Lyman Lakes. Then take the south road (Road 065) just a little over 5 miles to East Fork Blacks Fork trailhead.

This trailhead has ten parking places at the upper trailhead and twenty at the lower trailhead. Good campsites and toilets are located at the upper trailhead. There is a bridge to cross the river to the east of the campground.

Scenic mountain landscape surrounds the East Fork of the Blacks Fork River.","USGS Mount Lovenia, USGS Bridger Lake, and USGS Mount Powell; USDA Forest Service High Uintas Wilderness ; Trails Illustrated High Uintas Wilderness"
Gardners Fork Area,1,"This book highlights three broad regions of Utah’s High Uintas based on the major roads that access them. Gardners Fork is an outlier. Weber Canyon Road heads east into the Uintas from the town of Oakley, which is 5.5 miles north of the Kamas turnoff to Highway 150. Weber Canyon Road accesses the stunning and popular Smith and Morehouse Reservoir. Trails leading from there also reach Erickson Basin and Lakes Country, previously covered. The area is some of the lowest-elevation terrain in the Uintas, at least at the starting point—and that’s still around 8,000 feet. Both trails covered here have around 2,300 feet in elevation gain.

Trail contacts: Uinta-Wasatch-Cache National Forest, Forest Supervisor, 857 West South Jordan Pkwy., South Jordan, UT 84095; Kamas Ranger District, 50 East Center St., Kamas, UT 84036, (435) 783-4338

From Oakley, head east on Weber River Road. Follow it about 11.7 miles until the pavement ends. The road forks there, and the main road swings to the right (south) toward Smith-Morehouse Reservoir. Don’t go that way. Stay on the dirt road that goes east through Thousand Peaks Ranch (the home of the 15,000-acre Park City Powder Cats). The Dry Fork trailhead is around the 7-mile mark of the dirt road; Gardners Fork trailhead will be on the left at around 8.4 miles.

To achieve Utah’s “Cutthroat Slam”—a fishing challenge to support conservation projects—anglers can pursue native Bonneville cutthroat trout in the Western Uintas. PHOTO BY MATT MCKELL/UTAH DIVISION OF WILDLIFE RESOURCES","USGS Erickson Basin and USGS Whitney Reservoir, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
Grandview Trailhead,2,"Other than the westernmost reaches of the Uinta Mountains—the Mirror Lake Scenic Byway or East Weber Canyon Road to Smith and Morehouse—Grandview is the closest trailhead to the populous Wasatch Front and offers some of the best designated Wilderness access around. What does that mean? It means that after parking at the top of the rough Hades Canyon Road (following a short drive north from the beautiful Route 35 rather than U.S. 40), it’s only 0.2 mile to the High Uintas Wilderness.

Granted, some “gentle” switchbacks follow and there’s still over 900 feet of elevation gain over 2.5 miles, but then it’s an easy descent into the massive Grandaddy Basin where you’ll have your pick of more than two dozen named lakes near which to spread out, whether you set up a base camp at one lake and explore by day, or move from lake to lake over time. There are multiple loop options that are nearly half the distance of other South Slope loops.

Trail contacts: Ashley National Forest, Forest Supervisor, 355 North Vernal Ave., Vernal, UT 84078, (435) 781-1181; Duchesne Ranger District, 85 West Main, Duchesne, UT 84021, (435) 738-2482

From Heber City, take US 40 east to SR 208, which is about 6 miles east of Fruitland. Head north on SR 208 for 10 miles to SR 35. Follow SR 35 northwest 10 miles to Hanna. From Hanna, follow a dirt road, FR 144, 11 miles northwest to Hades Campground. Stay on the same road another 0.5 mile to a junction. One road takes off to Mill Flat (Iron Mine campground); the other road, FR 315, ventures right (northeast) about 5 steep, rocky miles to Grandview trailhead—it will be slow going for low-clearance vehicles.

Grandview trailhead has at least fifty parking places that, despite the rough road, will fill up on weekends; the amenities here include toilets and a stock-unloading ramp. Sorry, there’s no drinking water here. Grandview is the starting point for lakes in the West Fork of the Rock Creek drainage.

The truly grand view from Hades Pass of the 170-acre Grandaddy Lake, the largest natural lake in the Uintas

On the shore of Grandaddy Lake. Campsites must be at least 200 feet from any water source in Wilderness Areas.","USGS Grandaddy Lake and USGS Hayden, USDA Forest Service High Uintas Wilderness , Trails Illustrated High Uintas Wilderness"
