letter_number,printed_name,project_name,water_unit,treatment_type,agency,start_date,end_date,target_species,restored_species,note,source,source_url
GR-22,GR-22,Carter Creek project,\N,rotenone,UDWR + USFS,2021-08-17,2021-08-25,Brook trout,Cutthroats,"Named in the release as one of 'Ram, Mutton and Bummer lakes', treated alongside East and West Fork Carter Creek above the Sheep Creek canal. Third and final year for East Fork Carter Creek. The release put Bummer's restocking at '2023 at the earliest' — the records show 2023-09-19 (221 fish), so that held. Naming trap: DWR's 2022 release calls the 2021 trio 'Lamb, Mutton and Ram lakes' where the 2021 release said 'Bummer'. Lamb Lakes is the basin. Do not read 'Lamb Lake' as a fourth treated lake.","UDWR news release, 9 Aug 2021, 'Stream treatments to benefit cutthroat trout in High Uintas'",https://web.archive.org/web/20210809183917/https://wildlife.utah.gov/news/utah-wildlife-news/1246-stream-treatments-in-high-uintas-benefit-cutthroat-trout.html
GR-23,GR-23,Carter Creek project,\N,rotenone,UDWR + USFS,2021-08-17,2021-08-25,Brook trout,Cutthroats,"Named in the release as one of 'Ram, Mutton and Bummer lakes'. The release planned Mutton's restocking for 2022; the records show it actually began 2023-09-19 (387 fish), so the plan slipped a year. Naming trap: DWR's 2022 release calls the 2021 trio 'Lamb, Mutton and Ram lakes' where the 2021 release said 'Bummer'. Lamb Lakes is the basin. Do not read 'Lamb Lake' as a fourth treated lake.","UDWR news release, 9 Aug 2021, 'Stream treatments to benefit cutthroat trout in High Uintas'",https://web.archive.org/web/20210809183917/https://wildlife.utah.gov/news/utah-wildlife-news/1246-stream-treatments-in-high-uintas-benefit-cutthroat-trout.html
GR-24,GR-24,Carter Creek project,\N,rotenone,UDWR + USFS,2021-08-17,2021-08-25,Brook trout,Cutthroats,"Named in the release as one of 'Ram, Mutton and Bummer lakes'. Planned for 2022 restocking; actually restocked from 2023-09-19 (497), then 2024 and 2025 — the most heavily re-seeded of the three. Naming trap: DWR's 2022 release calls the 2021 trio 'Lamb, Mutton and Ram lakes' where the 2021 release said 'Bummer'. Lamb Lakes is the basin. Do not read 'Lamb Lake' as a fourth treated lake.","UDWR news release, 9 Aug 2021, 'Stream treatments to benefit cutthroat trout in High Uintas'",https://web.archive.org/web/20210809183917/https://wildlife.utah.gov/news/utah-wildlife-news/1246-stream-treatments-in-high-uintas-benefit-cutthroat-trout.html
G-113,G-113,West Fork Smiths Fork project,IICK020B,rotenone,UDWR + USFS (Uinta-Wasatch-Cache NF),2021-08-30,2021-09-01,Nonnative trout (rainbow and hybridized cutthroat per the USFS decision memo),Cutthroats,"The 2023 report states plainly that G-113 'was also part of the rotenone treatment'. Restocked 2023-09-19 with ~270 CRCT fingerling (mean TL 44 mm) from the North Slope brood at Mammoth Creek Hatchery — our stocking_records row of 276 Cutthroats on that date is the same event. The 2021 report lists exactly two still waters, 'Lake G-64 (1.44 ha) and a small unnamed pond (0.26 ha)', so G-113 is that 0.26 ha pond; its 0.64 acres in lakes.size_acres is sourced by that deduction, not printed by DWR against the G-113 designation.","UDWR, Cutthroat Trout Report, Northern Region, 2023, p. 52","https://web.archive.org/web/20251010092535/https://wildlife.utah.gov/pdf/fish/technical-reports/cutthroat_trout_report,_northern_region_2023.pdf"
G-64,G-64,West Fork Smiths Fork project,IICK020B,rotenone,UDWR + USFS (Uinta-Wasatch-Cache NF),2021-08-30,2021-09-01,Nonnative trout (rainbow and hybridized cutthroat per the USFS decision memo),Tigers,"Named outright in the 2021 report as 'Lake G-64 (1.44 ha)' — 3.56 acres, against the 1986 pamphlet's 3.4. NOT a cutthroat water afterward: the biennial tiger trout program resumed 2022-06-28 and continues (2024, 2026). The USFS decision memo explains why — tigers are stocked at the downstream, non-wilderness end of the project area to hold a fishery while CRCT expand, to be dropped once CRCT establish. Neutralized at a barrier UDWR installed in 2006 near the Wyoming border.","UDWR, Native Cutthroat Trout Conservation Activities in the Northern Region, 2021, p. 45",https://web.archive.org/web/20250611224207/https://wildlife.utah.gov/pdf/fish/technical-reports/native_cutthroat_trout_conservation_activities_in_the_northern_region_2021.pdf
LF-22,LF-22,Oweep Creek project,\N,rotenone,UDWR + USFS,2022-08-01,2022-08-05,"Brook trout, rainbow trout",Cutthroats,"First of three. 'Porcupine Lake (south slope)' named as its own line in the release. No restocking this year by design: 'Because this is the first year of the Oweep treatment, fish will not be restocked this year.' DWR raised the daily limit to 16 fish in May 2022 to let anglers harvest ahead of the treatment.","UDWR news release, 21 Jul 2022",https://web.archive.org/web/20220721200524/https://wildlife.utah.gov/news/utah-wildlife-news/1471-dwr-ashley-national-forest-reminds-public-to-stay-out-during-stream-treatments-in-high-unitas.html
LF-22,LF-22,Oweep Creek project,\N,rotenone,UDWR + USFS,2023-07-22,2023-07-30,"Brook trout, rainbow trout",Cutthroats,"Second of three. DATE CONFLICT, unresolved: the May 2023 news release forecast 'July 31 to Aug. 4'; WRI 6665, filed after the fact, gives 22-30 July. The WRI dates are recorded here as the post-hoc figure, but both are DWR.","UDWR news release, 16 May 2023 + Utah WRI project 6665 (Phase II)",https://wri.utah.gov/wri/reports/ProjectSummaryReport.html?id=6665
GR-10,GR-10,Carter Creek project,\N,rotenone,UDWR + USFS,2023-08-28,2023-08-28,"Brook trout, nonnative cutthroat, rainbow trout",Cutthroats,"Monday of the Aug 28-29 pair (WRI 6834). Still awaiting restocking — nothing since Tigers in 2016, despite DWR planning to restock all four in 2024. DWR's own sources call GR-6/9/10/16 'north slope' lakes and never assign them to Carter Creek by name; 'Carter Creek project' is this repo's grouping, kept for continuity with the PWA's rotenone modal.","UDWR news release, 16 May 2023 + Utah WRI project 6834 completion report",https://web.archive.org/web/20230524000625/https://wildlife.utah.gov/news/utah-wildlife-news/1654-upcoming-waterbody-treatments-in-high-uintas-to-help-restore-native-cutthroat-trout.html
GR-16,GR-16,Carter Creek project,\N,rotenone,UDWR + USFS,2023-08-28,2023-08-28,"Brook trout, nonnative cutthroat, rainbow trout",Cutthroats,"One of 'Daggett, Penguin, Upper Anson and Lower Anson lakes (north slope)'. WRI 6834 puts three lakes on the Monday (Aug 28) and Daggett on the Tuesday, so Penguin falls on the 28th. Still awaiting restocking — nothing since Tigers in 2016. DWR's own sources call GR-6/9/10/16 'north slope' lakes and never assign them to Carter Creek by name; 'Carter Creek project' is this repo's grouping, kept for continuity with the PWA's rotenone modal.","UDWR news release, 16 May 2023 + Utah WRI project 6834 completion report",https://web.archive.org/web/20230524000625/https://wildlife.utah.gov/news/utah-wildlife-news/1654-upcoming-waterbody-treatments-in-high-uintas-to-help-restore-native-cutthroat-trout.html
GR-9,GR-9,Carter Creek project,\N,rotenone,UDWR + USFS,2023-08-28,2023-08-28,"Brook trout, nonnative cutthroat, rainbow trout",Cutthroats,"Monday of the Aug 28-29 pair (WRI 6834). Restocked from 2025-06-30 (649), again 2026-07-15 (659) — a year later than DWR's 2024 plan. DWR's own sources call GR-6/9/10/16 'north slope' lakes and never assign them to Carter Creek by name; 'Carter Creek project' is this repo's grouping, kept for continuity with the PWA's rotenone modal.","UDWR news release, 16 May 2023 + Utah WRI project 6834 completion report",https://web.archive.org/web/20230524000625/https://wildlife.utah.gov/news/utah-wildlife-news/1654-upcoming-waterbody-treatments-in-high-uintas-to-help-restore-native-cutthroat-trout.html
