letter_number,name,drainage,basin,junesucker_notes,coordinates,map_link,size_acres,max_depth_ft,elevation_ft,dwr_notes,fish_species,fishing_pressure,jed_notes,status,trip_reports,notes_needs_update,no_fish,lat,lng,coord_source,coord_status
A-1,Alexander,Provo River Drainage,,"Alexander Lake is located in Summit County, Utah in the Uinta Mountains. The lake is part of the Uinta-Wasatch-Cache National Forest and is part of the Provo River Drainage. The lake is marked as A-1 on the UInta's lakes designation maps.

From the city of Kamas take the Mirror Lake highway UT-150 for 17.8 miles. Turn onto FR-041 which is across the street from the Duchesne Tunnel. Follow FR-041 for a little over 3 miles. If you have a high clearance vehicle you can take FR-946. I would not recommend taking a trailer past this point although you will see it happen every year. FR-496 becomes FR-938. You can follow this road right to the northeast shore, or take one of the FR-939 roads to the north shore.

From the south side of the lake you can take FR-941 right to the shore. I wouldn't recommend this route in a truck. A 4 wheeler would be best suited for this path.

You could also enter from the Trial Lake turn off and follow Spring Canyon - FR-41 to the FR-946 turnoff.

For some reason All Trails has you hike in directly from FR-041. The route they recommend isn't a very well cut trail and takes you through some thick brush. I highly recommend not following their advice on this route. If you have a lower clearance vehicle and want to hike in you should turn onto FR-946, and hike in on the dirt road. This will make the hike in a bit longer but it will be so much easier to traverse that it should take the same amount of time.

Fishing from the shore here can be difficult, and I recommend you use a canoe if possible. Brook trout are the only fish species stocked in the lake. The lake is typically stocked every other year.

2019 there was 1378 brook trout stocked at an average size of 2.68 inches.
2017 there was 2305 brook trout stocked at an average size of 2.29 inches.
2015 there was 2000 brook trout stocked at an average size of 2.5 inches.
2013 there was 2322 brook trout stocked at an average size of 2.61 inches.

The lake is listed in the book Utah Place Names by John W Van Cott. According to the book the namesake comes from an early explorer and settler. The book does not list who this early explorer or settler is. From my research I believe the lake was named after Quince Alexander. Quince was a settler in the area that later became the city of Francis.

1999
ALEXANDER, A-1. Alexander is an aesthetic natural lake located in heavily timbered country with very little open shoreline. It is 23 acres, 9,360 feet in elevation, with 28 feet maximum depth. Access is 3 miles north on the Spring Canyon Road from Highway U -150 and then 1/4 mile southeast on a well-marked Forest Service trail. Several campsites are present along the northern lake margin, but spring water is unavailable. The fishery is sustained by aerial stocking of brook trout. Angling pressure is heavy, and litter is a problem around the lake.

1964
ALEXANDER, A-l. 23 acres, elevation 9,300 feet, maximum depth 26 feet, average depth l5 1/2 feet. 4 miles north on Spring Creek Road. Posted trail for 1/2 mile southeast. Lying in heavy timber with partly open shores. Contains Eastern brook to 12 1/2 inches.
Redside shiners present. Stocked. Better fishing later in season.

Directions calculated from the fork of FR-041 and FR-946.

A-2 Lambert Meadow Lake . One mile south on FR-041. Then turn on FR-107 and head north for 1.7 miles.

A-44 Spectacle Lake. 1.5 miles north on FR-041 then a very simple 1/4 mile hike into the lake.

A-3 Buckeye Lake. 1.6 miles north on FR-041. Follow the signs to the West.

A-5 Blue Lake. Just before Buckeye take FR-531 up a steep rocky road.

A-41 Trident Lake. Head north FR-041 for 3.2 miles.

A-6 Beth Lake. Continue north of Trident Lake for 0.2 miles then take the turn for FR-961.

A-9 Haystack Lake. 0.7 miles north of Trident on FR-041. There is an old road you can follow in on foot.

Alexander Lake

Lambert Meadows

Spectacle

Buckeye

Blue

Trident

Beth

Haystack",\N,\N,23.0,28,9360,"Alexander is an aesthetic natural lake located in heavily timbered country with very little open shoreline. It is 23 acres, 9,360 feet in elevation, with 28 feet maximum depth. Access is 3 miles north on the Spring Canyon Road from Highway U-150 and then mile southeast on a well-marked Forest Service trail. Several campsites are present along the northern lake margin, but spring water is unavailable. The fishery is sustained by aerial stocking of brook trout. Angling pressure is heavy, and litter is a problem around the lake.",Brookies,High,\N,\N,\N,0,0,40.6096365,-110.9776674,manual,confirmed
A-10,Rock,Provo River Drainage,,\N,\N,\N,8.0,14,10140,"Rock is a natural lake situated in rough terrain at the base of Haystack Mountain, ¼ mile west of Haystack Lake. It is 8 acres, 10,140 feet in elevation, with 14 feet maximum depth. Rock has a history of winterkill. Several good campsites are available with limited spring water. There are no clearly defined trails, and access is limited to backpackers due to the rough nature of the terrain and large rockslides. Angling pressure is moderate. Rock Lake receives frequent plants of brook trout, but fishing is unpredictable.","Brookies*, Tigers",Moderate,\N,\N,\N,0,0,40.6597846,-110.9808158,manual,confirmed
A-11,Azure,Provo River Drainage,,\N,\N,\N,9.0,23,10140,"Azure is a natural lake located in a glacial basin formed by an end moraine of large boulders. It is 9 acres, 10,140 feet in elevation, with 23 feet maximum depth. The surrounding terrain is rocky and talus slopes flank the western and northern margins of the lake. Campsites, horse feed and spring water are not available at Azure. Better opportunities are present at nearby Rock Lake. Azure is located ¾ mile west of Haystack Lake and approximately 200 yards north and slightly west of Rock Lake. Access is limited to backpackers due to the presence of large rockslides. Recreational use is very light. Azure is not being managed for a fishery.",Grayling,Low,\N,\N,\N,0,0,40.6572044,-110.9793395,manual,confirmed
A-12,Marjorie,Provo River Drainage,,\N,\N,\N,13.0,16,9980,"Marjorie is a reservoired lake located on the ridge southeast of Weir Lake. It is 13 acres maximum, 9,980 feet in elevation, with 16 feet maximum depth. The shoreline is gently sloping with scattered conifers and meadows. Access is 2¼ miles west of the Crystal Lake Trailhead on the Lake Country and Weir Lake trails to Weir and then ¼ mile to the southeast. Campsites are present but spring water is unavailable. Marjorie contains Arctic grayling. Angling pressure is heavy.",Grayling*,High,\N,\N,\N,0,0,40.6727482,-110.9979537,manual,confirmed
A-13,Jacks,Provo River Drainage,,\N,\N,\N,1.2,23,7980,"This small oblong lake is situated in timbered country with open shorelines. Jacks is 1.2 acres, 7,980 feet in elevation, with 23 feet maximum depth. The lake is located 700 yards east of Weir Lake in the North Fork Drainage (see directions to Weir Lake). There is one camp site present, but spring water is unavailable and horse feed restricted. Jacks Lake contains a small population of brook trout and is subject to occasional winterkill.",Brookies,Moderate,\N,\N,\N,0,0,40.6751361,-110.9998747,manual,confirmed
A-14,Fire,Provo River Drainage,,\N,\N,\N,9.0,59,10200,"Fire Lake has a rock masonry dam across the outlet and is located in a steep, rocky basin with scattered conifers. It is 9 acres maximum, 10,200 feet in elevation, with 59 feet maximum depth. Access is 150 yards south of Junior Lake in the North Fork Drainage. Camping opportunities are limited due to the steep, rocky nature of the watershed. Spring water and horse feed are not available. Angling pressure is moderate for cutthroat trout.","Cutthroats, Tigers*",Moderate,\N,\N,\N,0,0,40.6769823,-111.0226489,manual,confirmed
A-15,Hidden,Provo River Drainage,,\N,\N,\N,8.2,25,9760,"Hidden is located in rocky, timbered country in the North Fork Drainage. It is 8.2 acres, 9,760 feet in elevation, with 25 feet maximum depth. Access is 2¼ miles south of Weir Lake on an indistinct segment of the Weir Lake Trail. The total distance from the Crystal Lake Trailhead is 5 miles. Hidden is situated in a small, remote basin and is difficult to locate. A topographic map may be helpful in locating this lake. Several marginal campsites are present with no available horse feed or spring water. Angling pressure is moderate for stocked brook trout.",Brookies,Moderate,\N,\N,\N,0,0,40.654618,-111.0223345,manual,confirmed
A-16,Faith,Provo River Drainage,,\N,\N,\N,\N,\N,\N,Faith has been experimentally stocked with brook trout. This lake frequently winterkills and is no longer managed to provide a fishery.,Brookies,\N,\N,\N,\N,0,0,40.698779421830245,-110.9542965888977,manual,confirmed
A-17,Beaver,Provo River Drainage,,\N,\N,\N,3.5,15,9900,"This remote natural lake is located ¼ mile southwest of Duck. It is 3.5 acres, 9,900 feet in elevation, with 15 feet maximum depth. Beaver is surrounded by thick timber. Several marginal campsites are present with no available spring water. Horse feed is limited to several acres of meadow grass along the outlet stream. Beaver is subject to winterkill. It is stocked every other year with brook trout. Fishing pressure is light.",Brookies,Low,\N,\N,\N,0,0,40.6676639,-111.0254848,manual,confirmed
A-18,Big Elk,Provo River Drainage,,"Big Elk Lake A-18 is located in Summit County, Utah. The lake is part of the Provo River Drainage in the Uinta-Wasatch-Cache National Forest. The primary entrance is from the Norway Flats road. Other popular access points are from the Upper Setting Trail, and Smith and Morehouse Trail. You can also access from Island Lake although there is no trail and most people don't choose this route. You can read about the hikes below.

Big Elk Lake Trail is 3 to 5 miles round trip hike depending on where you park.

From Kamas take Mirror Lake Highway for 10.6 miles to the Norway Flats turnoff. The Norway Flats road also called Forest Road 035, starts out as a washboard dirt road and gets rougher the further up you get. Most people drive until the road gets really rough then pull over and hike the remainder of the way. Once you get to the last couple miles of Forest Road 035 the road is full of sharp slate rocks. This road has a strong history of popping tires. If you want to drive to the end of it be prepared to lose a tire.

FR 035 is about 6.5 miles long, from Mirror Lake highway to the end near Little Elk Lake. Some older maps falsely show FR 035 B as going all the way to Big Elk Lake. Do not take FR 035 B it just leads to pain, suffering and broken vehicles. Most people choose to park about 1 mile before the road ends. One of the area's I like to park at is Forest Road 916 which is 5.5 miles up FR 035. Forest Road 916 only goes back in a few hundred yards to a little pond.

From Forest Road 916 the hike to Big Elk Lake is 2.5 miles. The elevation climbs from 9,600 feet to 10,000 feet. Just continue on Forest Road 035A. After FR 035 ends, the trail can be spotty, so I recommend bringing a GPS. Most of the elevation gain is in the last half mile of the hike.

The Upper Setting Trail is 7.5 miles round trip hike.

From Mirror Lake Highway take the Upper Setting Road for 6.7 miles until the road ends. The road can get a bit rough the last mile or two and a medium clearance vehicle is recommended. The Upper Setting Trailhead starts at the end of the road. The first 1.6 miles to East Shingle Creek is an easy hike.

The next mile to South Erickson Lake the elevation increases by 400 feet and the hike gets a bit tougher. From South Erickson the elevation gains nearly 300 feet the half mile climb over the pass. Keep heading east and do not try to short cut the trail.

The final half mile drop down isn't too bad if you can stay on trail. The problem is the trail is non existent in a lot of places. Some one was nice enough to make some cairns on the best route down. If you follow these you shouldn't have to much of a problem. If you can't find the cairns then stay on the east side of the top two salamander ponds. Going west leads to several 20 foot cliffs so aim for the east side of the lake not the north bank. From the pic below you walk left of the first two ponds.

Erickson Basin Trail about 12 miles round trip hike.

From Smith and Morehouse reservoir head south past the Ledge Fork Campground to the trail head. Follow the Smith and Morehouse trail for 2.7 miles. Take the Erickson Basin Trail. Alternatively, you can continue on the Smith and Morehouse trail and do the loop past Island Lake. This loop will add a few miles though. Follow the Erickson Basin trail for 2.3 more miles to North Erickson Lake. From here travel 1/4 of a mile south up the hill to South Erickson Lake. This merges with the Upper Setting Trail and you can follow the directions in the section above.

Fish Species

There are wild breeding populations of cutthroat trout and brook trout. Tiger trout are stocked on a 3 to 5 year cycle. When I was here in 2020 I witnessed a splake being caught. Splake are not listed as being stocked here but I'm certain it wasn't a brook trout.

BIG ELK RESERVOIR, A-18. 30 acres, elevation 8,032 feet, maximum depth 107 feet, 8 miles west of Trial Lake, trail becomes very rough and difficult to follow past Island Lake. Access is also available from Norway Flats 3 miles north on old wagon road then a steep climb to lake. Excellent fishing after July 15 for large cutthroat and Arctic grayling. Lake is seldom visited. Good campsites and some horse feed. Subject to great drawdown.

BIG ELK, A-18. Big Elk has a large dam across the outlet and is situated at the base of a steep ridge with talus slopes. It is 30 acres maximum, 10,020 feet in elevation, with 85 feet maximum depth. The two major routes of access are the Norway Flats Road and the Lake Country Trail. From U-150, proceed north on the Norway Flats Road for 7 1/2 miles to the end and then 1/2 mile beyond on the Norway Flats Trail. The last mile of road is passable to 4-wheel drive only. Access is also available from the Crystal Lake Trailhead on 7 miles of the Lake Country Trail. The trail becomes indistinct and difficult to negotiate on horseback between Island and Big Elk lakes. There are several camping areas to the south and east of the lake. Spring water and horse feed are unavailable in the immediate vicinity. Big Elk contains populations of brook and cutthroat trout. Fishing pressure is heavy.

The dam was built by Washington Irrigation Company. Which was a group of farmers. Construction of the dam upon Boulder Creek was started in 1910. The plans for the dam called for a flood of 87 acres of land and a maximum capacity of 871 acre-feet. Construction took several years to complete.

South Erickson Lake W-25, North Erickson Lake W-26, Little Elk Lake A-19, Hourglass Lake A-48, Lower Shingle Creek P-62, East Shingle Creek Lake A-39, West Shingle Creek lake P-60, Beaver Lake A17, Duck Lake A-7, Fire Lake A-14, Island Lake A-57, Ramona Lake A-38, Weir Lake A-50, and Majorie Lake A-12.",\N,\N,30.0,85,10020,"Big Elk has a large dam across the outlet and is situated at the base of a steep ridge with talus slopes. It is 30 acres maximum, 10,020 feet in elevation, with 85 feet maximum depth. The two major routes of access are the Norway Flats Road and the Lake Country Trail. From U-150, proceed north on the Norway Flats Road for 7½ miles to the end and then ¾ mile beyond on the Norway Flats Trail. The last mile of road is passable to 4-wheel drive only. Access is also available from the Crystal Lake Trailhead on 7 miles of the Lake Country Trail. The trail becomes indistinct and difficult to negotiate on horseback between Island and Big Elk lakes. There are several camping areas to the south and east of the lake. Spring water and horse feed are unavailable in the immediate vicinity. Big Elk contains populations of brook and cutthroat trout. Fishing pressure is heavy.","Brookies*, Cutthroats*, Tigers",High,\N,\N,\N,0,0,40.6762463,-111.05353,manual,confirmed
