water_name,county,species,quantity,length,stock_date,source_year
BEAR CR BEAVER POND,DAGGETT,Tigers,510,11.68,2019-08-19,2019
BEAVER CR,SUMMIT,Rainbows,199,9.63,2002-06-05,2002
BEAVER CR,SUMMIT,Rainbows,102,10.21,2002-06-18,2002
BEAVER CR,SUMMIT,Rainbows,201,9.52,2002-06-18,2002
BEAVER CR,SUMMIT,Rainbows,200,9.52,2003-06-13,2003
BEAVER CR,SUMMIT,Rainbows,100,10.0,2003-06-17,2003
BEAVER CR,SUMMIT,Rainbows,200,9.52,2003-07-01,2003
BEAVER CR,SUMMIT,Rainbows,200,10.24,2004-06-10,2004
BEAVER CR,SUMMIT,Rainbows,101,10.6,2004-06-28,2004
BEAVER CR,SUMMIT,Rainbows,201,9.81,2004-06-28,2004
BEAVER CR,SUMMIT,Rainbows,104,11.6,2005-06-27,2005
BEAVER CR,SUMMIT,Rainbows,169,9.87,2005-06-27,2005
BEAVER CR,SUMMIT,Rainbows,150,10.77,2005-07-13,2005
BEAVER CR,SUMMIT,Rainbows,105,12.13,2006-06-27,2006
BEAVER CR,SUMMIT,Rainbows,169,9.87,2006-06-27,2006
BEAVER CR,SUMMIT,Rainbows,151,10.36,2006-07-11,2006
BEAVER CR,SUMMIT,Brown Trout,488,9.41,2006-08-18,2006
BEAVER CR,SUMMIT,Rainbows,152,10.22,2007-06-12,2007
BEAVER CR,SUMMIT,Rainbows,157,11.06,2007-06-25,2007
BEAVER CR,SUMMIT,Rainbows,100,10.77,2007-07-02,2007
BEAVER CR,SUMMIT,Rainbows,151,10.36,2007-07-10,2007
BEAVER CR,SUMMIT,Rainbows,150,11.28,2007-07-23,2007
BEAVER CR,SUMMIT,Brown Trout,342,13.57,2007-10-12,2007
BEAVER CR,SUMMIT,Rainbows,200,10.28,2008-07-01,2008
BEAVER CR,SUMMIT,Rainbows,200,10.44,2008-07-11,2008
BEAVER CR,SUMMIT,Rainbows,49,10.96,2008-07-16,2008
BEAVER CR,SUMMIT,Rainbows,200,10.28,2008-07-22,2008
BEAVER CR,SUMMIT,Rainbows,199,10.14,2008-08-04,2008
BEAVER CR,SUMMIT,Rainbows,49,11.16,2008-08-12,2008
BEAVER CR,SUMMIT,Rainbows,199,9.81,2009-06-16,2009
BEAVER CR,SUMMIT,Rainbows,200,10.44,2009-06-29,2009
BEAVER CR,SUMMIT,Rainbows,51,10.42,2009-07-07,2009
BEAVER CR,SUMMIT,Rainbows,201,9.86,2009-07-15,2009
BEAVER CR,SUMMIT,Rainbows,50,10.47,2009-07-20,2009
BEAVER CR,SUMMIT,Rainbows,200,10.0,2009-07-27,2009
BEAVER CR,SUMMIT,Rainbows,125,10.0,2009-08-11,2009
BEAVER CR,SUMMIT,Rainbows,50,10.77,2010-06-28,2010
BEAVER CR,SUMMIT,Rainbows,200,10.44,2010-06-29,2010
BEAVER CR,SUMMIT,Rainbows,200,11.16,2010-07-08,2010
BEAVER CR,SUMMIT,Rainbows,198,10.44,2010-07-12,2010
BEAVER CR,SUMMIT,Rainbows,50,10.77,2010-07-20,2010
BEAVER CR,SUMMIT,Rainbows,206,10.3,2010-07-26,2010
BEAVER CR,SUMMIT,Rainbows,200,10.44,2010-08-10,2010
BEAVER CR,SUMMIT,Rainbows,198,9.97,2011-07-18,2011
BEAVER CR,SUMMIT,Rainbows,200,10.13,2011-07-28,2011
BEAVER CR,SUMMIT,Rainbows,200,8.63,2011-08-10,2011
BEAVER CR,SUMMIT,Rainbows,200,10.12,2011-08-23,2011
BEAVER CR,SUMMIT,Rainbows,201,9.74,2011-09-07,2011
BEAVER CR,SUMMIT,Rainbows,202,9.63,2012-05-24,2012
BEAVER CR,SUMMIT,Rainbows,200,9.57,2012-06-11,2012
BEAVER CR,SUMMIT,Rainbows,201,9.69,2012-06-26,2012
BEAVER CR,SUMMIT,Rainbows,200,10.0,2012-07-10,2012
BEAVER CR,SUMMIT,Rainbows,100,10.0,2012-07-25,2012
BEAVER CR,SUMMIT,Rainbows,101,10.11,2012-08-09,2012
BEAVER CR,SUMMIT,Rainbows,201,9.9,2013-05-29,2013
BEAVER CR,SUMMIT,Rainbows,200,9.97,2013-06-10,2013
BEAVER CR,SUMMIT,Rainbows,200,10.11,2013-06-26,2013
BEAVER CR,SUMMIT,Rainbows,200,10.11,2013-07-09,2013
BEAVER CR,SUMMIT,Rainbows,199,9.88,2014-06-17,2014
BEAVER CR,SUMMIT,Rainbows,199,10.14,2014-07-01,2014
BEAVER CR,SUMMIT,Rainbows,200,10.77,2014-07-14,2014
BEAVER CR,SUMMIT,Rainbows,199,10.14,2014-07-28,2014
BEAVER CR,SUMMIT,Rainbows,200,10.77,2015-06-16,2015
BEAVER CR,SUMMIT,Rainbows,251,10.44,2015-06-29,2015
BEAVER CR,SUMMIT,Rainbows,201,10.68,2015-07-13,2015
BEAVER CR,SUMMIT,Rainbows,200,10.77,2015-07-27,2015
BEAVER CR,SUMMIT,Rainbows,200,10.96,2015-08-10,2015
BEAVER CR,SUMMIT,Rainbows,200,11.16,2016-06-20,2016
BEAVER CR,SUMMIT,Rainbows,200,10.28,2016-06-28,2016
BEAVER CR,SUMMIT,Rainbows,200,11.86,2016-07-05,2016
BEAVER CR,SUMMIT,Rainbows,201,10.86,2016-07-18,2016
BEAVER CR,SUMMIT,Rainbows,201,9.73,2017-06-28,2017
BEAVER CR,SUMMIT,Rainbows,200,10.96,2017-07-05,2017
BEAVER CR,SUMMIT,Rainbows,200,10.98,2017-07-19,2017
BEAVER CR,SUMMIT,Rainbows,200,10.77,2017-07-25,2017
BEAVER CR,SUMMIT,Rainbows,201,10.68,2017-08-07,2017
BEAVER CR,SUMMIT,Rainbows,206,9.65,2018-06-04,2018
BEAVER CR,SUMMIT,Rainbows,200,9.65,2018-06-18,2018
BEAVER CR,SUMMIT,Rainbows,198,9.64,2018-07-02,2018
BEAVER CR,SUMMIT,Rainbows,200,9.57,2018-07-16,2018
BEAVER CR,SUMMIT,Rainbows,208,9.75,2019-07-01,2019
BEAVER CR,SUMMIT,Rainbows,205,10.12,2019-07-10,2019
BEAVER CR,SUMMIT,Rainbows,200,9.87,2019-07-15,2019
BEAVER CR,SUMMIT,Rainbows,199,9.63,2019-07-29,2019
BEAVER CR,SUMMIT,Rainbows,200,10.52,2019-08-05,2019
BEAVER CR,SUMMIT,Rainbows,202,9.21,2020-07-06,2020
BEAVER CR,SUMMIT,Rainbows,196,11.99,2020-07-24,2020
BEAVER CR,SUMMIT,Rainbows,193,8.94,2020-08-04,2020
BEAVER CR,SUMMIT,Rainbows,201,9.12,2020-08-17,2020
BEAVER CR,SUMMIT,Rainbows,248,9.68,2021-06-01,2021
BEAVER CR,SUMMIT,Rainbows,250,9.32,2021-06-14,2021
BEAVER CR,SUMMIT,Rainbows,247,9.32,2021-06-28,2021
BEAVER CR,SUMMIT,Rainbows,99,9.32,2021-07-06,2021
BEAVER CR,SUMMIT,Rainbows,170,9.32,2021-07-11,2021
BEAVER CR,SUMMIT,Rainbows,259,10.14,2021-07-20,2021
BEAVER CR,SUMMIT,Rainbows,250,10.14,2021-08-02,2021
BEAVER CR,SUMMIT,Rainbows,112,9.21,2022-06-02,2022
BEAVER CR,SUMMIT,Rainbows,99,9.41,2022-06-06,2022
BEAVER CR,SUMMIT,Rainbows,98,10.07,2022-07-04,2022
BEAVER CR,SUMMIT,Rainbows,103,10.0,2022-07-21,2022
BEAVER CR,SUMMIT,Rainbows,101,10.28,2022-08-22,2022
BEAVER CR,SUMMIT,Rainbows,105,11.26,2023-07-05,2023
BEAVER CR,SUMMIT,Rainbows,102,11.26,2023-07-17,2023
BEAVER CR,SUMMIT,Rainbows,102,11.99,2023-07-25,2023
BEAVER CR,SUMMIT,Rainbows,101,12.13,2023-08-07,2023
BEAVER CR,SUMMIT,Rainbows,98,12.13,2023-08-23,2023
BEAVER CR,SUMMIT,Rainbows,202,11.16,2024-06-20,2024
BEAVER CR,SUMMIT,Rainbows,101,11.16,2024-07-01,2024
BEAVER CR,SUMMIT,Rainbows,115,10.28,2024-07-15,2024
BEAVER CR,SUMMIT,Rainbows,230,10.28,2024-07-22,2024
BEAVER CR,SUMMIT,Rainbows,115,10.28,2024-08-05,2024
BEAVER CR,SUMMIT,Cutthroats,571,10.27,2024-12-13,2024
BEAVER CR,SUMMIT,Rainbows,110,10.44,2025-06-23,2025
BEAVER CR,DAGGETT,Cutthroats,302,7.23,2025-06-25,2025
BEAVER CR,SUMMIT,Rainbows,98,10.14,2025-07-01,2025
BEAVER CR,SUMMIT,Rainbows,100,10.77,2025-07-07,2025
BEAVER CR,SUMMIT,Rainbows,99,10.44,2025-07-14,2025
BEAVER CR,SUMMIT,Rainbows,52,12.95,2025-08-05,2025
BEAVER CR,SUMMIT,Rainbows,494,10.96,2025-08-21,2025
BEAVER CR,SUMMIT,Cutthroats,2007,3.3,2025-10-23,2025
BEAVER CR,SUMMIT,Rainbows,101,10.14,2026-06-10,2026
BENCH CR,WASATCH,Cutthroats,803,2.56,2019-10-02,2019
BENCH CR,WASATCH,Cutthroats,759,2.8,2024-09-24,2024
BENCH CR,WASATCH,Cutthroats,1006,2.5,2025-09-16,2025
DEADMAN CR,SUMMIT,Cutthroats,252,3.24,2021-09-14,2021
DEADMAN CR,SUMMIT,Cutthroats,1002,7.58,2022-06-07,2022
DEADMAN CR,SUMMIT,Brookies,500,4.64,2022-08-25,2022
DEADMAN CR,SUMMIT,Brookies,114,16.99,2022-09-19,2022
DEADMAN CR,SUMMIT,Cutthroats,155,8.69,2023-05-31,2023
DEADMAN CR,SUMMIT,Cutthroats,200,3.22,2023-11-16,2023
EAST CENTER OWEEP CR,DUCHESNE,Cutthroats,0,1.52,2024-10-01,2024
EAST CENTER OWEEP CR,DUCHESNE,Cutthroats,1155,6.06,2024-10-01,2024
EAST CENTER OWEEP CR,DUCHESNE,Cutthroats,2149,1.59,2024-10-01,2024
EAST CENTER OWEEP CR,DUCHESNE,Cutthroats,553,4.62,2025-07-15,2025
EAST OWEEP CR,DUCHESNE,Cutthroats,331,6.06,2024-10-01,2024
EAST OWEEP CR,DUCHESNE,Cutthroats,277,4.62,2025-07-15,2025
GILBERT CR,SUMMIT,Cutthroats,258,5.23,2003-07-22,2003
GREEN MEADOW POND,DUCHESNE,Cutthroats,2112,2.61,2011-10-19,2011
GREEN MEADOW POND,DUCHESNE,Cutthroats,3990,2.21,2014-11-11,2014
GREEN MEADOW POND,DUCHESNE,Cutthroats,503,2.0,2016-10-05,2016
GREEN MEADOW POND,DUCHESNE,Cutthroats,389,5.1,2017-05-22,2017
GREEN MEADOW POND,DUCHESNE,Cutthroats,203,4.34,2018-05-14,2018
LOWER CUTTHROAT POND,DUCHESNE,Cutthroats,311,1.96,2015-10-19,2015
