letter_number,county,species,quantity,length,stock_date,source_year
A-1,SUMMIT,Brookies,2295,2.54,2002-06-24,2002
A-1,SUMMIT,Brookies,2294,2.62,2003-06-30,2003
A-1,SUMMIT,Brookies,2298,2.48,2004-07-06,2004
A-1,SUMMIT,Brookies,2305,2.65,2005-07-13,2005
A-1,SUMMIT,Brookies,1113,2.88,2006-07-13,2006
A-1,SUMMIT,Brookies,1148,2.61,2006-07-13,2006
A-1,SUMMIT,Brookies,1152,3.47,2007-07-09,2007
A-1,SUMMIT,Brookies,1148,3.04,2008-07-08,2008
A-1,SUMMIT,Brookies,1226,2.97,2008-07-08,2008
A-1,SUMMIT,Brookies,2300,2.71,2009-07-06,2009
A-1,SUMMIT,Brookies,2300,2.79,2010-07-08,2010
A-1,SUMMIT,Brookies,2300,2.3,2012-06-25,2012
A-1,SUMMIT,Brookies,2322,2.61,2013-07-02,2013
A-1,SUMMIT,Brookies,2000,2.5,2015-07-01,2015
A-1,SUMMIT,Brookies,2305,2.29,2017-07-12,2017
A-1,SUMMIT,Brookies,1378,2.68,2019-07-08,2019
A-1,SUMMIT,Brookies,2300,2.79,2021-06-28,2021
A-1,SUMMIT,Brookies,2301,2.68,2023-07-13,2023
A-1,SUMMIT,Brookies,2300,3.01,2025-06-25,2025
A-10,SUMMIT,Brookies,806,2.62,2003-06-30,2003
A-10,SUMMIT,Brookies,804,2.65,2005-07-13,2005
A-10,SUMMIT,Brookies,803,3.22,2007-07-09,2007
A-10,SUMMIT,Brookies,800,2.71,2009-07-06,2009
A-10,SUMMIT,Brookies,795,2.68,2012-08-06,2012
A-10,SUMMIT,Tigers,400,2.71,2017-06-29,2017
A-10,SUMMIT,Tigers,405,2.65,2019-07-09,2019
A-10,SUMMIT,Tigers,397,2.69,2021-06-30,2021
A-10,SUMMIT,Tigers,396,2.83,2023-07-14,2023
A-10,SUMMIT,Tigers,399,3.8,2025-07-02,2025
A-11,SUMMIT,Grayling,1017,2.86,2006-10-09,2006
A-11,SUMMIT,Grayling,1000,1.17,2008-07-28,2008
A-11,SUMMIT,Grayling,306,2.81,2020-09-21,2020
A-11,SUMMIT,Grayling,301,2.65,2021-09-21,2021
A-13,SUMMIT,Brookies,122,2.54,2002-06-24,2002
A-13,SUMMIT,Brookies,114,2.48,2004-07-06,2004
A-13,SUMMIT,Brookies,120,2.75,2006-07-07,2006
A-13,SUMMIT,Brookies,120,2.92,2008-07-08,2008
A-13,SUMMIT,Brookies,115,2.79,2010-07-08,2010
A-13,SUMMIT,Brookies,163,2.4,2014-06-19,2014
A-13,SUMMIT,Brookies,121,2.16,2016-06-28,2016
A-13,SUMMIT,Brookies,126,2.88,2018-07-09,2018
A-13,SUMMIT,Brookies,132,2.47,2020-07-31,2020
A-13,SUMMIT,Brookies,120,2.75,2022-06-27,2022
A-13,SUMMIT,Brookies,122,2.9,2024-07-03,2024
A-14,SUMMIT,Cutthroats,2492,1.86,2007-09-10,2007
A-14,SUMMIT,Tigers,1196,2.94,2011-08-01,2011
A-14,SUMMIT,Cutthroats,1999,2.18,2012-09-17,2012
A-14,SUMMIT,Cutthroats,2510,2.37,2013-10-05,2013
A-14,SUMMIT,Cutthroats,2011,2.35,2019-09-26,2019
A-14,SUMMIT,Cutthroats,1524,2.51,2022-09-19,2022
A-14,SUMMIT,Cutthroats,1920,2.5,2025-09-17,2025
A-15,SUMMIT,Brookies,1001,2.62,2003-06-30,2003
A-15,SUMMIT,Brookies,1005,2.65,2005-07-13,2005
A-15,SUMMIT,Brookies,1000,2.92,2008-07-08,2008
A-15,SUMMIT,Brookies,1000,2.68,2012-08-06,2012
A-15,SUMMIT,Brookies,801,2.16,2016-06-28,2016
A-15,SUMMIT,Brookies,809,2.47,2020-07-31,2020
