name,region,drainage,pages,info
Bald Mountain,western,Provo River Drainage,"438,439","DEAN (W-35): It is a natural lake surrounded by meadows and open timber at the head of the Main Fork of the Weber drainage, 2 miles southwest of the Bald Mountain Trailhead on the Notch Mountain Trail, horse friendly. 10,060 ft. elevation, 12 acres, 16' deep has brook and cutthroat trout, but subject to sporadic winterkill. Under heavy fishing pressure. Now with Arctic Grayling.

CLEGG (A-47): We have again crossed a divide and are in the Provo River drainage, 1.5 miles from the Bald Mountain Trailhead, horse friendly, 10,460 ft. elevation, 5.1 acres, 12' deep, has planted Brook and Tiger trout, under heavy use.

WE HAVE NOW ARRIVED AT THE BALD MOUNTAIN TRAILHEAD, seen below.

Sunrise from Bald Mountain with Mirror Lake at our feet. 438"
Beaver Creek - Weynman Park,main,Beaver Creek Drainage,89,"In another mile we come to another junction, seeing a pickup pulling a travel trailer, followed by others, which for several reasons I feel is important, as I will explain.

Browne Lake is a popular destination for campers, glampers, fishermen and hikers.

Just after we turn onto this road, we see in the long meadow to our right another Trailhead, but very importantly see a historical marker--as coming down this meadow we have been paralleling the route of the CARTER MILITARY ROAD, constructed in 1881 and used until 1924 that had the purpose of traveling between Fort Bridger and the railroad on the north to supply military outposts in the Uintah Basin. It followed one of the two routes used by the Native Americans to cross the Uinta Mountains--the other one being up the Henrys Fork, over Gun Sight Pass to the Uinta River Drainage and down to the basin. But, the Carter route made possible supply wagons--even though the distance of 60 miles still was a long torturous trip with a wagon. The story of the Carter Military Road is told on page 474."
Beaver Meadows,main,Beaver Creek Drainage,278,"Chapter 2: THE WILDERNESS AREA- North Slope

Section 14: BURNT FORK & BEAVER MEADOWS LK. TH’s ****************

PREFACE

THE 1st MOUNTAIN MAN RENDEZOUS--1825 Northeast of the Burnt Fork Trailhead--10 miles as the crow flies, along WY-414, is found a very important display--I've already shown a small version of on page 54, but it is so important in the development of the West, that we've got to see it big enough now to read.

In case you're curious why so much effort and sacrifice only created $50,000 worth of furs, it's equivalent today would be more than $12 million--not bad for the new adventurers, like Jedediah Smith, whose incredible story is summarized beginning on page 236. On page 55 I've inserted a picture of the approximate location of the ""Jubilee,"" chosen because of its abundant grass--which is still being produced with the help of the Uinta's Henry Fork River. A mural, actually from the Rendezvous later in the Grand Teton area, helps us visualize the great event, celebrated every year in Fort Bridger, mentioned on page 51."
Beaver Meadows Reservoir,main,Beaver Creek Drainage,"82,83","We continue east on FR-86 3 miles and come to a Trailhead sign, we see below--which is the BURNT FORK TRAILHEAD, with a trail that takes one up to the North Slope Highline Trail, accessing Fish Lake and others in the Wilderness Area. NOTE: Seems like in

some areas they call it ""The North Side Highline Trail,"" but since we are on the North Slope-thus the excuse for my slip of the tongue.

A short distance east we cross Burnt Fork, which would be a great stream to wet a line in and you could camp out most anywhere. From the Trailhead we drive 2.2 miles and come to BEAVER MEADOWS RESERVOIR where the road crosses the long dam. There is a Trailhead you find by taking a quite rough road just before crossing the dam."
Browne-/Spirit Lake Trail No. 017,minor--eastern,Sheep/Carter Creek Drainages,481,"NOW TO THE DETAILS A mile or so after leaving FR-221, you come to the first two trail signs, seen below:

The sign on the left leads to areas in the Wilderness Area. The one on the right is in the Sheep/Carter Creeks area. As you will notice, access to the areas of our interest, are best from the Spirit Lake area. But to give you a complete picture, I'm showing the signs as we come to them, another of which is found 2 miles further along, seen below, that has us in the zone.

About 4 miles further we come to Spirit Lake and as we drive a mile around the eastern side, we come to another trail sign seen below.

Then, after passing the full-service Forest Service campground, we come to the main Trailhead, seeing just a little further along the gate of the Resort--with lodge, restaurant, cabins and boats for rent, but closed with the FOR SALE sign I showed in Chapter 1."
Burnt Fork,main,Burnt Fork Drainage,"82,288","Chapter 2: THE WILDERNESS AREA—South Slope

Section 16:"
Cache,main,Blacks Fork Drainage,"66,216","Chapter 2: THE WILDERNESS AREA--North Slope

Section 7: The EAST FORK OF BLACKS FORK HOW TO GET HERE: From SLC 40 miles, to Kamas, 50 miles on UT-150 to the North Fork Road (FR058), then east 20 miles to the junction with FR-065, then 6 miles south to the Trailhead. TOTAL FROM Kamas = 76 miles, from SLC=116 miles. From Evanston, Wyo., east on I-80 to Ft. Bridger, east and south to Mt. View--total of 45 miles, then 9 miles on CR-410 to Robertson and end of pavement, turning south on CR-271 to Ut. border, then on FR058 to junction (24 miles from Robertson) with E. Fk. Blacks Fk. road, FR-065, then 6 miles to Trailhead. Total via Evanston=84 miles. From SLC 80 to Evanston + 84 to TH, TOTAL OF 164.

We will begin our description of the East Fork of Blacks Fork, with two small lakes, DUCK (G-37), and G-86, out of the Wilderness Area, mentioned in the 1985 DWR pamphlet, both of which were experimentally stocked in 1985--that wasn’t successful with no further stockings.

THE CACHE TRAILHEAD This is basically a crossing of the road by what I call the North Slope [or Side]Highline Trail--the Forest Service usually call it, The Bear River-Smiths Fork Trail It is located 5 miles south of the junction of FR-058 and FR-065, and one mile short of the Trailhead.

The EAST FORK OF BLACKS FORK TRAILHEAD"
Center Park,main,Yellowstone Drainage,"125,337,338,339","Chapter 2: THE WILDERNESS AREA—South slope

Section 19: The CENTER PARK TRAILHEAD: WEST YELLOWSTONE DRAINAGE--THE GARFIELD & SWASEY HOLE BASINS HOW TO GET HERE: From the Wasatch Front, 100 miles to Duchesne, (from Heber on U.S. 40) then north following the signs towards Yellowstone Canyon (29 miles) on the Road to Moon Lake, but at the sign turning east to Yellowstone Canyon on the dirt-gravel road and continue to the sign to Hells Canyon (about 122 miles to that junction), then drive 10 miles to the Trailhead. TOTAL = 132 miles.

For more details, see Chapter 1, page 125.130 First, we'll learn about one lake accessed best from this trailhead, but which is in the Lake Fork Drainage. TOQUER (LF-25): This lake is the headwaters of Fish Creek that flows into Moon Lake. It can be accessed 7 miles via the Fish Creek National Recreation Trail from Moon Lake, or 3 miles via the Hell's Canyon Trail from the west end of the Center Park. 10,470 ft. elevation, 11.1 acres, 32' deep, horse friendly, has both Brook and Cutthroat trout, with light fishing pressure.

Now we'll move up the Swasey Hole/Garfield Basin Trail."
Chepeta-Highline Trail,main,White Rocks Drainage,"113,114","We drive .6 of a mile in to the Trailhead, which is a very nice one—the nicest in the Whiterocks Drainage, with extensive corrals for horses used a lot in this area.

In Chapter 4 on the Eastern Uintas I'll tell in the Preface my ""John Wayne look-alike"" experience in climbing from here Queant Fox Pass that is right on the eastern edge of the Wilderness Area and the Uinta River Drainage.

Over the next 6.8 miles we pass several trail markers I'll insert below, including where the Highline Trail continues to the east after leaving the trailhead that is up the road on the west side and called the CHEPETA TRAILHEAD, .3 of a mile down from the lake--I'll insert a picture of the Trailhead before showing the lake."
China Meadows,main,Smiths Fork Drainage,"72,73,74","This chance visit led to intensive research, explorations and discoveries, and even evolved into me giving speeches on the subject to Historical Societies in Evanston, Wyoming and Coalville, Utah. THANKS TERESA AND BOB!

In relation to Teresa--since 2007 when we met, years have come and gone with a lot of water gushing by under the bridge of life…..that brought me to 2015 and a failed effort to get to my lake--Little Andy Lake, Utah's highest lake at 12,302 ft. in the eastern shadow of South Kings Peak. High Altitude Sickness had me backing off and coming back down the trail--that had me stumble into one of those coincidental experiences for which I'm most grateful. Some Forest Service personnel were coming up the trail--one, a lady on horseback. I stopped to say hello when she screamed at me! It was Teresa, still a Wilderness Ranger, who recognized me and explained she had Googled my name a while ago and found an obituary for a ""Cordell M. Andersen"" who had died in Council Bluffs, Iowa in 2010--causing her to scream at the ghost--me, what's in her picture.

Now back to the LOOP TOUR. From the Hewinta Guard Station, return to FR-073:"
