drainage,lake_name,lake_designation
Ashley Creek Drainage,Ashley Twins Reservoir,
Ashley Creek Drainage,Bert,GR-35
Ashley Creek Drainage,Blue,GR-62
Ashley Creek Drainage,Chimney Rock,DF-1
Ashley Creek Drainage,Deadman,GR-63
Ashley Creek Drainage,,GR-38
Ashley Creek Drainage,,DF-4
Ashley Creek Drainage,East Kibah,DF-11
Ashley Creek Drainage,Finger Kibah,DF-12
Ashley Creek Drainage,West Kibah,DF-14
Ashley Creek Drainage,North Kibah,DF-15
Ashley Creek Drainage,Island Kibah,DF-16
Ashley Creek Drainage,Fish,
Ashley Creek Drainage,Goose #2,GR-57
Ashley Creek Drainage,Goose #1,GR-43
Ashley Creek Drainage,,GR-42
Ashley Creek Drainage,,GR-52
Ashley Creek Drainage,Hacking,GR-40
Ashley Creek Drainage,Hooper,GR-46
Ashley Creek Drainage,Lakeshore,GR-34
Ashley Creek Drainage,Little Blue,GR-48
Ashley Creek Drainage,Little Elk,DF-17
Ashley Creek Drainage,Marsh,GR-39
Ashley Creek Drainage,Moap,DF-2
Ashley Creek Drainage,Mud,GR-47
Ashley Creek Drainage,North Twin (Dry Fork),GR-50
Ashley Creek Drainage,Paul,DF-18
Ashley Creek Drainage,Red Belly,GR-51
Ashley Creek Drainage,Sandy,GR-45
Ashley Creek Drainage,Shaw,GR-59
Ashley Creek Drainage,South Twin (Dry Fork),GR-49
Ashley Creek Drainage,Wilde,GR-36
Bear River Drainage,Allsop,BR-42
Bear River Drainage,Amethyst,BR-28
Bear River Drainage,Beaver,BR-10
Bear River Drainage,Bourbon lake (Gold Hill),BR-1
Bear River Drainage,,BR-2
Bear River Drainage,,BR-17
Bear River Drainage,,BR-18
Bear River Drainage,,BR-19
Bear River Drainage,,BR-24
Bear River Drainage,,BR-25
Bear River Drainage,,BR-30
Bear River Drainage,,BR-31
Bear River Drainage,,BR-45
Bear River Drainage,,BR-46
Bear River Drainage,,BR-50
Bear River Drainage,Cutthroat,BR-37
Bear River Drainage,Elizabeth,BR-8
Bear River Drainage,Hayden Lake,BR-36
Bear River Drainage,Hell Hole,BR-29
Bear River Drainage,Jewel,BR-38
Bear River Drainage,Kermsuh,BR-20
Bear River Drainage,Lilly,BR-11
Bear River Drainage,Lym,BR-7
Bear River Drainage,Mcpheters,BR-14
Bear River Drainage,Meadow Lake,BR-19
Bear River Drainage,Mt Elizabeth Lake,BR-8
Bear River Drainage,Naomi Lake,BR-39
Bear River Drainage,Norice,BR-47
Bear River Drainage,Ostler,BR-27
Bear River Drainage,Priord,BR-48
Bear River Drainage,Ruth,BR-40
Bear River Drainage,Ryder,BR-15
Bear River Drainage,Salamander lake,BR-26
Bear River Drainage,Scow,BR-12
Bear River Drainage,Seidner Lake,BR-31
Bear River Drainage,Teal,BR-32
Bear River Drainage,Toomset Lake,BR-25
Bear River Drainage,Whiskey Island Lake,BR-3
Beaver Creek Drainage: Middle Fork,Beaver,GR-147
Beaver Creek Drainage: Middle Fork,Coffin,GR-144
Beaver Creek Drainage: Middle Fork,Dine,GR-148
Beaver Creek Drainage: Middle Fork,,GR-155
Beaver Creek Drainage: Middle Fork,Hidden,GR-149
Beaver Creek Drainage: Middle Fork,,GR-145
Beaver Creek Drainage: Middle Fork,,GR-160
Beaver Creek Drainage: Middle Fork,,GR-161
Beaver Creek Drainage: Middle Fork,,GR-162
Beaver Creek Drainage: Middle Fork,,GR-163
Beaver Creek Drainage: Middle Fork,,GR-164
Beaver Creek Drainage: Middle Fork,,GR-172
Beaver Creek Drainage: Middle Fork,,GR-173
Beaver Creek Drainage: Middle Fork,,GR-177
Beaver Creek Drainage: West Fork,Gilbert,GR-150
Beaver Creek Drainage: West Fork,,GR-151
Beaver Creek Drainage: West Fork,,GR-152
Beaver Creek Drainage: West Fork,,GR-153
Beaver Creek Drainage: West Fork,,GR-154
Beaver Creek Drainage: West Fork,,GR-155
Beaver Creek Drainage: West Fork,,GR-178
Burnt Fork Drainage,Bennion,GR-134
Burnt Fork Drainage,Burnt Fork Lake,GR-127
Burnt Fork Drainage,Fish,GR-125
Burnt Fork Drainage,,GR-126
Burnt Fork Drainage,,GR-128
Burnt Fork Drainage,,GR-130
Burnt Fork Drainage,,GR-133
Burnt Fork Drainage,,GR-135
Burnt Fork Drainage,,GR-137
Burnt Fork Drainage,Hoop Lake,GR-143
Burnt Fork Drainage,Island,GR-132
Burnt Fork Drainage,Kabell,GR-140
Burnt Fork Drainage,Round,GR-131
Dry Gulch Drainage,,DG-1
Dry Gulch Drainage,Crow,DG-3
Dry Gulch Drainage,,DG-4
Dry Gulch Drainage,,DG-5
Dry Gulch Drainage,,DG-6
Dry Gulch Drainage,,DG-7
Dry Gulch Drainage,,DG-8
Dry Gulch Drainage,,DG-9
Dry Gulch Drainage,,DG-10
Dry Gulch Drainage,,DG-14
Dry Gulch Drainage,,DG-15
Dry Gulch Drainage,,DG-16
Dry Gulch Drainage,,DG-17
Dry Gulch Drainage,Bollie,U-96
Dry Gulch Drainage,,DG-29
Dry Gulch Drainage,,DG-30
Dry Gulch Drainage,Heller Reservoir,DG-28
Dry Gulch Drainage,Hidden,DG-27
Dry Gulch Drainage,Lower Lily Pad,DG-26
Dry Gulch Drainage,Upper Lily Pad,DG-25
Duchesne Drainage,Blizzard,D-25
Duchesne Drainage,Blue,Z-32
Duchesne Drainage,Blythe,Z-20
Duchesne Drainage,Bonnie,Z-6
Duchesne Drainage,Broadhead,D-40
Duchesne Drainage,Bud,Z-2
Duchesne Drainage,Butterfly,Z-1
Duchesne Drainage,Carolyn,Z-42
Duchesne Drainage,Castle,Z-14
Duchesne Drainage,,D-5
Duchesne Drainage,,D-10
Duchesne Drainage,,D-19
Duchesne Drainage,,D-26
Duchesne Drainage,,D-30
Duchesne Drainage,,D-32
Duchesne Drainage,,D-34
Duchesne Drainage,Echo,Z-16
Duchesne Drainage,Emerald,D-20
Duchesne Drainage,Everman,D-36
Duchesne Drainage,Farney,X-14
Duchesne Drainage,Faxon,D-1
Duchesne Drainage,Fehr,Z-7
Duchesne Drainage,Gatman,D-12
Duchesne Drainage,Gem,Z-18
Duchesne Drainage,Hades,D-11
Duchesne Drainage,Hoover,Z-10
Duchesne Drainage,Hyatt,Z-37
Duchesne Drainage,Iron Mine,D-33
Duchesne Drainage,Joan,Z-19
Duchesne Drainage,Jordan,Z-35
Duchesne Drainage,Leconte,Z-33
Duchesne Drainage,Maba,Z-8
Duchesne Drainage,Marsell,X-11
Duchesne Drainage,Marshall,Z-11
Duchesne Drainage,Mirror,Z-3
Duchesne Drainage,Moosehorn,Z-4
Duchesne Drainage,Morat #1,Z-31
Duchesne Drainage,Morat #2,Z-27
Duchesne Drainage,Olga,Z-43
Duchesne Drainage,Olsen,Z-26
Duchesne Drainage,Packard,Z-15
Duchesne Drainage,Pass,Z-5
Duchesne Drainage,Pyramid,Z-17
Duchesne Drainage,Scout,Z-12
Duchesne Drainage,Scudder,Z-21
Duchesne Drainage,Shaler,Z-34
Duchesne Drainage,Shepard,Z-9
Duchesne Drainage,Sonny,X-12
Duchesne Drainage,Tadpole,D-15
Duchesne Drainage,Twin #1,D-3
Duchesne Drainage,Twin #2,D-4
Duchesne Drainage,Wilder,Z-13
Duchesne Drainage,Wyman,Z-14
Henry's Fork and Smith Fork Drainage,Alligator,G-38
Henry's Fork and Smith Fork Drainage,Bald,G-63
