letter_number,name,drainage,elevation_ft,size_acres,max_depth_ft,fish_species,fishing_pressure,low_pressure,remote_access,natural_repro,infrequent_stocking,big_fish_mentioned,productive_depth,elevation_sweet_spot,size_sweet_spot,tiger_trout,grayling,cutthroat,good_habitat,total_score,notes
WR-43,Dollar,White Rocks Drainage,10500,7.3,15,"Brookies*, Cutthroats*, Rainbows*, Tigers*",Moderate,1,1,1,1,0,1,1,1,1,0,1,1,10,"Light pressure, Remote/off-trail, Natural repro, Infrequent stocking, Good depth, Good elevation, Good size, Tigers, Cutthroat, Good habitat"
GR-19,Lamb,Ashley Creek Drainage,10540,6.0,10,"Cutthroats, Grayling*, Tigers*",Low,1,1,0,1,0,0,1,1,1,1,1,1,9,"Light pressure, Remote/off-trail, Infrequent stocking, Good elevation, Good size, Tigers, Grayling, Cutthroat, Good habitat"
A-40,Cutthroat (clint),Provo River Drainage,9940,3.0,10,"Brookies, Tigers",Low,1,1,1,1,0,0,1,1,1,0,0,1,8,Light pressure; Remote/off-trail; Natural repro; Infrequent stocking; Good elevation; Good size; Tigers; Good habitat
A-50,Weir,Provo River Drainage,9940,7.0,13,"Cutthroats, Grayling",Moderate,0,1,1,1,0,0,1,1,0,1,1,1,8,Remote/off-trail; Natural repro; Infrequent stocking; Good elevation; Good size; Grayling; Cutthroats; Good habitat
BR-48,Priord,Bear River Drainage,10860,10.5,20,"Cutthroats, Tigers",Moderate,1,1,0,1,0,1,0,1,1,0,1,1,8,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (20ft); Good size (10.5ac); Tigers; Cutthroat; Good habitat
DF-17,Little Elk,Ashley Creek Drainage,10550,7.4,10,"Grayling, Tigers*",,1,1,0,1,0,0,1,1,1,1,0,1,8,"Light pressure, Remote/off-trail, Infrequent stocking, Good elevation, Good size, Tigers, Grayling, Good habitat"
DG-9,,Dry Gulch Drainage,10750,10.0,27,Cutthroats,Low,1,1,0,1,0,1,1,1,0,0,1,1,8,"light pressure, remote/off-trail, infrequent stocking, good depth (27ft), good elev (10750ft), good size (10.0ac), cutthroat, good habitat"
GR-12,Clear,Sheep/Carter Creek Drainages,10780,10.2,25,"Cutthroats*, Grayling*, Tigers",Low,1,0,0,1,0,1,1,1,1,1,0,1,8,"light pressure, infrequent stocking, good depth (25ft), good elev (10780ft), good size (10.2ac), tigers, grayling, good habitat"
GR-24,Ram,Ashley Creek Drainage,10380,7.0,27,"Cutthroats, Grayling*, Tigers*",Low,1,0,0,0,0,1,1,1,1,1,1,1,8,"Light pressure, Good depth, Good elevation, Good size, Tigers, Grayling, Cutthroat, Good habitat"
GR-47,Mud,Ashley Creek Drainage,10582,4.2,15,Grayling*,,1,1,1,0,0,1,1,1,0,1,0,1,8,"Light pressure, Remote/off-trail, Natural repro, Good depth, Good elevation, Good size, Grayling, Good habitat"
