water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
ALEXANDER L A-1,SUMMIT,BROOK TROUT,Brookies,2305,2.29,2017-07-12,2017,250,exact,Matched on letter-number: A-1
BEAR R,SUMMIT,RAINBOW,Rainbows,399,10.03,2017-06-27,2017,,none,No match found
BEAR R,SUMMIT,RAINBOW,Rainbows,300,10.6,2017-07-05,2017,,none,No match found
BEAR R,SUMMIT,RAINBOW,Rainbows,100,10.98,2017-07-17,2017,,none,No match found
BEAR R,SUMMIT,RAINBOW,Rainbows,100,10.68,2017-07-31,2017,,none,No match found
"BEAR R, E FK",SUMMIT,RAINBOW,Rainbows,300,10.6,2017-07-05,2017,,none,No match found
"BEAR R, E FK",SUMMIT,RAINBOW,Rainbows,299,10.98,2017-07-17,2017,,none,No match found
"BEAR R, E FK",SUMMIT,RAINBOW,Rainbows,299,10.68,2017-07-31,2017,,none,No match found
BEAVER CR,SUMMIT,RAINBOW,Rainbows,201,9.73,2017-06-28,2017,32,medium,Partial match: BEAVER CREEK <-> BEAVER
BEAVER CR,SUMMIT,RAINBOW,Rainbows,200,10.96,2017-07-05,2017,32,medium,Partial match: BEAVER CREEK <-> BEAVER
BEAVER CR,SUMMIT,RAINBOW,Rainbows,200,10.98,2017-07-19,2017,32,medium,Partial match: BEAVER CREEK <-> BEAVER
BEAVER CR,SUMMIT,RAINBOW,Rainbows,200,10.77,2017-07-25,2017,32,medium,Partial match: BEAVER CREEK <-> BEAVER
BEAVER CR,SUMMIT,RAINBOW,Rainbows,201,10.68,2017-08-07,2017,32,medium,Partial match: BEAVER CREEK <-> BEAVER
BEAVER L BR-10,SUMMIT,RAINBOW,Rainbows,2000,10.24,2017-06-21,2017,32,exact,Matched on letter-number: BR-10
BETH L A-6,SUMMIT,BROOK TROUT,Brookies,503,2.29,2017-07-12,2017,253,exact,Matched on letter-number: A-6
BLUE L A-5,SUMMIT,BROOK TROUT,Brookies,608,2.29,2017-07-12,2017,255,exact,Matched on letter-number: A-5
BOOKER L A-35,SUMMIT,BROOK TROUT,Brookies,398,2.29,2017-07-12,2017,256,exact,Matched on letter-number: A-35
BR-24,SUMMIT,TIGER TROUT,Tigers,248,2.63,2017-07-11,2017,38,exact,Matched on letter-number: BR-24
BR-55,SUMMIT,BROOK TROUT,Brookies,230,2.29,2017-07-12,2017,660,exact,Matched on letter-number: BR-55
BRIDGER L G-20,SUMMIT,RAINBOW,Rainbows,1999,9.87,2017-06-07,2017,173,exact,Matched on letter-number: G-20
BRIDGER L G-20,SUMMIT,RAINBOW,Rainbows,1506,10.01,2017-06-19,2017,173,exact,Matched on letter-number: G-20
BRIDGER L G-20,SUMMIT,RAINBOW,Rainbows,1499,10.07,2017-06-27,2017,173,exact,Matched on letter-number: G-20
BRIDGER L G-20,SUMMIT,BROOK TROUT,Brookies,2095,2.29,2017-07-12,2017,173,exact,Matched on letter-number: G-20
BRIDGER L G-20,SUMMIT,RAINBOW,Rainbows,1499,10.98,2017-07-17,2017,173,exact,Matched on letter-number: G-20
BRIDGER L G-20,SUMMIT,RAINBOW,Rainbows,1499,10.68,2017-08-07,2017,173,exact,Matched on letter-number: G-20
CHINA L G-21,SUMMIT,BROOK TROUT,Brookies,6929,2.53,2017-07-09,2017,174,exact,Matched on letter-number: G-21
CLIFF L G-5,SUMMIT,TIGER TROUT,Tigers,3300,2.71,2017-06-29,2017,175,exact,Matched on letter-number: G-5
COFFIN L GR-144,SUMMIT,TIGER TROUT,Tigers,2000,2.71,2017-06-29,2017,65,exact,Matched on letter-number: GR-144
CRYSTAL L A-51,SUMMIT,BROOK TROUT,Brookies,1006,2.29,2017-07-12,2017,262,exact,Matched on letter-number: A-51
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,377,8.9,2017-05-03,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,375,8.94,2017-05-24,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,WIPER,Wiper,520,9.87,2017-06-01,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,WIPER,Wiper,520,9.87,2017-06-01,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,375,8.94,2017-06-05,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,375,8.94,2017-06-20,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,749,9.54,2017-07-20,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,RAINBOW,Rainbows,752,10.34,2017-08-07,2017,,none,No match found
DEER VALLEY LAKES,SUMMIT,TIGER TROUT,Tigers,3041,6.35,2017-09-19,2017,,none,No match found
DIVIDE L NO 1 A-36,SUMMIT,BROOK TROUT,Brookies,524,2.29,2017-07-12,2017,630,exact,Matched on letter-number: A-36
DOLLAR L G-2,SUMMIT,TIGER TROUT,Tigers,1000,2.71,2017-06-29,2017,176,exact,Matched on letter-number: G-2
ECHO RES,SUMMIT,WALLEYE,Walleye,77000,0.28,2017-04-14,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,4914,9.71,2017-04-14,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,4942,9.71,2017-04-14,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,5215,9.71,2017-04-14,2017,,none,No match found
ECHO RES,SUMMIT,WALLEYE,Walleye,18350,0.28,2017-04-19,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,10292,9.31,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,8772,9.9,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,4644,9.9,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,11232,9.54,2017-05-02,2017,,none,No match found
ELKHORN L W-64,SUMMIT,BROOK TROUT,Brookies,105,2.29,2017-07-12,2017,487,exact,Matched on letter-number: W-64
"ERICKSON L,SOUTH W25",SUMMIT,BROOK TROUT,Brookies,859,2.29,2017-07-12,2017,488,exact,Matched on letter-number: W-25
G- 40,SUMMIT,BROOK TROUT,Brookies,310,2.53,2017-07-09,2017,663,exact,Matched on letter-number: G-40
G- 80,SUMMIT,BROOK TROUT,Brookies,84,2.29,2017-07-12,2017,614,exact,Matched on letter-number: G-80
GR-119,SUMMIT,GRAYLING ARCTIC,Grayling,300,2.79,2017-09-20,2017,666,exact,Matched on letter-number: GR-119
GR-145,SUMMIT,GRAYLING ARCTIC,Grayling,907,2.79,2017-09-26,2017,69,exact,Matched on letter-number: GR-145
GR-162,SUMMIT,BROOK TROUT,Brookies,713,2.53,2017-07-09,2017,72,exact,Matched on letter-number: GR-162
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,300,10.03,2017-06-27,2017,,none,No match found
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,301,10.98,2017-07-17,2017,,none,No match found
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,299,10.68,2017-07-31,2017,,none,No match found
HOOP L,SUMMIT,RAINBOW,Rainbows,3500,9.87,2017-06-08,2017,93,high,Matched on normalized word name: HOOP LAKE
HOOP L,SUMMIT,RAINBOW,Rainbows,8010,3.82,2017-06-08,2017,93,high,Matched on normalized word name: HOOP LAKE
ISLAND L G-9,SUMMIT,TIGER TROUT,Tigers,1000,2.71,2017-06-29,2017,200,exact,Matched on letter-number: G-9
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,198,10.24,2017-06-26,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,200,8.98,2017-06-27,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,298,10.96,2017-07-03,2017,281,exact,Matched on letter-number: A-58
