UINTA MOUNTAINS LAKE DATABASE DUMP
==================================================

Total Lakes: 669


--- Ashley Creek Drainage ---
DF-1     | Blue                      | 6.5ac    | 16ft   | Moderate | [Norrick]
DF-11    | East Kibah                | 2.9ac    | 12ft   | Moderate | [Norrick]
DF-12    | Finger Kibah              | 4.7ac    | 9ft    | Moderate | [Norrick]
DF-14    | West Kibah                | 7.8ac    | 15ft   | Moderate | [Norrick]
DF-15    | North Kibah               | ?ac      | ?ft    | ?        | 
DF-16    | Island Kibah              | 8.0ac    | 14ft   | Moderate | [Norrick]
DF-17    | Little Elk                | ?ac      | ?ft    | ?        | 
DF-18    | Paul                      | 11.1ac   | 17ft   | Low      | [Norrick]
DF-2     | Moap                      | ?ac      | ?ft    | ?        | 
DF-4     | (No name)                 | 10.0ac   | 23ft   | Low      | [Norrick]
GR-104   | (No name)                 | 4.3ac    | 19ft   | Low      | [Norrick]
GR-11    | (No name)                 | 2.6ac    | 8ft    | Low      | [Norrick]
GR-119   | (No name)                 | ?ac      | ?ft    | ?        | 
GR-13    | (No name)                 | 9.2ac    | ?ft    | Low      | [Norrick]
GR-15    | Sesame                    | 6.0ac    | 7ft    | Low      | [Norrick]
GR-16    | Penguin                   | 2.1ac    | 20ft   | Moderate | [Norrick]
GR-19    | Lamb                      | 6.0ac    | 10ft   | Low      | [Norrick]
GR-20    | (No name)                 | 5.7ac    | 8ft    | Low      | [Norrick]
GR-21    | (No name)                 | 3.7ac    | 7ft    | Low      | [Norrick]
GR-23    | Mutton                    | 3.8ac    | 10ft   | Low      | [Norrick]
GR-24    | RAM                       | 7.0ac    | 27ft   | Low      | [Norrick]
GR-31    | (No name)                 | 6.0ac    | 6ft    | Low      | [Norrick]
GR-34    | Lakeshore                 | 11.1ac   | 18ft   | Moderate | [Norrick]
GR-35    | Ashley Twin Reservoir     | 25.0ac   | 18ft   | Moderate | [Norrick]
GR-36    | Wilde                     | ?ac      | ?ft    | ?        | 
GR-38    | Deadman                   | 7.0ac    | 9ft    | High     | [Norrick]
GR-39    | Marsh                     | 12.6ac   | 21ft   | Moderate | [Norrick]
GR-40    | Hacking                   | ?ac      | ?ft    | ?        | 
GR-42    | Goose #1                  | ?ac      | ?ft    | ?        | 
GR-43    | Goose #2                  | 17.5ac   | 40ft   | High     | [Norrick]
GR-45    | Sandy                     | 5.6ac    | 10ft   | Low      | [Norrick]
GR-46    | Hooper                    | 4.5ac    | 4ft    | Moderate | [Norrick]
GR-47    | Mud                       | ?ac      | ?ft    | ?        | 
GR-48    | Little Blue               | 3.2ac    | 6ft    | Low      | [Norrick]
GR-49    | South Twin (Dry Fork)     | 6.2ac    | 8ft    | High     | [Norrick]
GR-5     | Summit                    | 9.9ac    | 7ft    | Low      | [Norrick]
GR-50    | North Twin (Dry Fork)     | ?ac      | ?ft    | High     | [Norrick]
GR-51    | Red Belly                 | 6.3ac    | 8ft    | Moderate | [Norrick]
GR-52    | (No name)                 | 2.1ac    | 4ft    | Moderate | [Norrick]
GR-57    | Fish                      | ?ac      | ?ft    | ?        | 
GR-59    | Shaw                      | 2.8ac    | 5ft    | Low      | [Norrick]
GR-62    | Bert                      | ?ac      | ?ft    | ?        | 
GR-63    | Chimney Rock              | ?ac      | ?ft    | ?        | 

--- Bear River Drainage ---
BR-1     | Bourbon lake (Gold Hill)  | 1.9ac    | 8ft    | Moderate | [Norrick]
BR-10    | Beaver                    | 13.2ac   | 32ft   | Moderate | [Norrick]
BR-11    | Lilly                     | 12.6ac   | 20ft   | Moderate | [Norrick]
BR-12    | Scow                      | 22.9ac   | 6ft    | Low      | [Norrick]
BR-14    | Mcpheters                 | 28.0ac   | 45ft   | Moderate | [Norrick]
BR-15    | Ryder                     | 23.7ac   | 55ft   | Moderate | [Norrick]
BR-16    | (No name)                 | 1.0ac    | 5ft    | Low      | [Norrick]
BR-17    | (No name)                 | 2.8ac    | 7ft    | Moderate | [Norrick]
BR-18    | (No name)                 | 4.8ac    | 12ft   | Low      | [Norrick]
BR-19    | Meadow Lake               | 2.9ac    | 5ft    | Low      | [Norrick]
BR-2     | (No name)                 | 0.7ac    | 5ft    | Low      | [Norrick]
BR-20    | Kermsuh                   | 12.4ac   | 14ft   | Low      | [Norrick]
BR-24    | (No name)                 | 2.4ac    | 10ft   | Low      | [Norrick]
BR-25    | Toomset                   | 2.1ac    | 11ft   | Low      | [Norrick]
BR-26    | Salamander lake           | 4.1ac    | 13ft   | Low      | [Norrick]
BR-27    | Ostler                    | 14.0ac   | 14ft   | Moderate | [Norrick]
BR-28    | Amethyst                  | 42.5ac   | 59ft   | Moderate | [Norrick]
BR-29    | Hell Hole                 | ?ac      | ?ft    | ?        | 
BR-3     | Whiskey Island Lake       | 5.0ac    | 19ft   | Low      | [Norrick]
BR-30    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-31    | Seidner                   | 3.2ac    | 8ft    | Moderate | [Norrick]
BR-32    | Teal                      | 6.9ac    | 14ft   | Moderate | [Norrick]
BR-34    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-35    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-36    | Hayden Lake               | 4.4ac    | 5ft    | Moderate | [Norrick]
BR-37    | Cutthroat                 | 3.8ac    | 16ft   | Moderate | [Norrick]
BR-38    | Jewel                     | ?ac      | ?ft    | ?        | 
BR-39    | Naomi Lake                | ?ac      | ?ft    | ?        | 
BR-40    | Ruth                      | 9.7ac    | 30ft   | High     | [Norrick]
BR-42    | Allsop                    | 12.3ac   | 22ft   | Moderate | [Norrick]
BR-43    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-44    | (No name)                 | 3.6ac    | 15ft   | Low      | [Norrick]
BR-45    | (No name)                 | 3.6ac    | 8ft    | Moderate | [Norrick]
BR-46    | (No name)                 | 12.0ac   | 20ft   | Low      | [Norrick]
BR-47    | Norice                    | 4.8ac    | 3ft    | Moderate | [Norrick]
BR-48    | Priord                    | 12.0ac   | 20ft   | Moderate | [Norrick]
BR-50    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-55    | (No name)                 | ?ac      | ?ft    | ?        | 
BR-7     | Lym                       | 6.4ac    | 20ft   | Moderate | [Norrick]
BR-8     | Mt Elizabeth              | 3.1ac    | 15ft   | Moderate | [Norrick]

--- Beaver Creek Drainage ---
GR-144   | Coffin                    | 25.8ac   | 28ft   | Low      | [Norrick]
GR-145   | (No name)                 | 5.6ac    | 11ft   | Low      | [Norrick]
GR-147   | Beaver                    | 38.3ac   | 30ft   | High     | [Norrick]
GR-148   | Dine                      | 5.1ac    | 15ft   | Low      | [Norrick]
GR-149   | Hidden                    | 6.5ac    | 18ft   | Moderate | [Norrick]
GR-150   | Gilbert                   | 15.2ac   | 2ft    | Moderate | [Norrick]
GR-151   | (No name)                 | 12.6ac   | 11ft   | Low      | [Norrick]
GR-152   | (No name)                 | 4.8ac    | 13ft   | Low      | [Norrick]
GR-153   | (No name)                 | 3.6ac    | 2ft    | Low      | [Norrick]
GR-154   | (No name)                 | 2.1ac    | 6ft    | Low      | [Norrick]
GR-155   | (No name)                 | 1.6ac    | 6ft    | Low      | [Norrick]
GR-160   | (No name)                 | 4.8ac    | 50ft   | Low      | [Norrick]
GR-161   | (No name)                 | 4.3ac    | 41ft   | Low      | [Norrick]
GR-162   | (No name)                 | 6.5ac    | 18ft   | Low      | [Norrick]
GR-163   | (No name)                 | 6.5ac    | 16ft   | Low      | [Norrick]
