water_name,county,species,quantity,length,stock_date,source_year
BIG SANDWASH RES,DUCHESNE,RAINBOW,2481,7.97,05/15/2018,2018
BIG SANDWASH RES,DUCHESNE,RAINBOW,6346,8.89,05/16/2018,2018
BIG SANDWASH RES,DUCHESNE,RAINBOW,5700,8.89,05/18/2018,2018
BROWNS DRAW RES,DUCHESNE,RAINBOW,14952,3.04,04/18/2018,2018
BROWNS DRAW RES,DUCHESNE,TIGER TROUT,10010,2.96,05/14/2018,2018
CEDARVIEW RES,DUCHESNE,CUTTHROAT,1373,2.17,11/05/2018,2018
CEDARVIEW RES,DUCHESNE,CUTTHROAT,506,2.05,11/05/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,252,9.22,06/05/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,497,10.29,06/21/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,250,10.08,07/19/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,1108,9.22,06/05/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,1000,10.08,07/19/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,500,10.77,08/28/2018,2018
INDIAN CYN CR,DUCHESNE,CUTTHROAT,1974,2.19,10/25/2018,2018
LAKE CANYON L,DUCHESNE,TIGER TROUT,564,2.16,05/14/2018,2018
LAKE CANYON L,DUCHESNE,CUTTHROAT,1495,4.66,05/22/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,425,9.22,06/08/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,430,10.36,07/05/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,643,11.37,09/19/2018,2018
MOON L,DUCHESNE,TIGER TROUT,10010,2.96,05/14/2018,2018
MOON L,DUCHESNE,RAINBOW,3040,8.89,05/18/2018,2018
MOON L,DUCHESNE,RAINBOW,4770,9.05,05/24/2018,2018
MOON L,DUCHESNE,SPLAKE,10084,3.2,06/26/2018,2018
RED CR RES,DUCHESNE,RAINBOW,10043,3.11,04/30/2018,2018
RED CR RES,DUCHESNE,TIGER TROUT,4950,2.96,05/14/2018,2018
RED CR RES,DUCHESNE,RAINBOW,370,10.29,06/21/2018,2018
ROCK CR,DUCHESNE,RAINBOW,1418,9.22,06/08/2018,2018
ROCK CR,DUCHESNE,RAINBOW,1250,10.08,07/19/2018,2018
ROCK CR,DUCHESNE,RAINBOW,600,10.77,08/28/2018,2018
STARVATION RES,DUCHESNE,KOKANEE,74998,1.61,02/15/2018,2018
STARVATION RES,DUCHESNE,PERCH YELLOW,154,8.05,04/24/2018,2018
STARVATION RES,DUCHESNE,PERCH YELLOW,123,6.73,04/25/2018,2018
STARVATION RES,DUCHESNE,PERCH YELLOW,423,8.05,05/03/2018,2018
STARVATION RES,DUCHESNE,CRAPPIE BLACK,94,11.38,05/23/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,99960,1.52,07/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3040,11.05,11/01/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,1520,11.05,11/01/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3088,11.05,11/01/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3097,11.05,11/02/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,2489,11.05,11/02/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,665,11.05,11/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,1080,10.22,11/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3840,10.22,11/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3720,10.22,11/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,1920,10.22,11/03/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3900,10.22,11/04/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,4275,11.96,11/05/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,1015,9.6,11/05/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,1450,9.6,11/05/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,6480,10.22,11/05/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,3335,9.6,11/06/2018,2018
STARVATION RES,DUCHESNE,RAINBOW,9570,9.6,11/06/2018,2018
